tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName|attitude
1016446022220963840|07-09-2018|RT @PatriciaHammes2: @SecretarySonny We are tired of the countless studies concerning Cu/Ni mining in the @SuperiorNF . You need to end the?|||7|@PatriciaHammes2,@SecretarySonny,@SuperiorNF|positive
1016445999206846465|07-09-2018|@caseliskar @SecretarySonny @TwinMetals @SuperiorNF @MinnesotaMiners We need more families moving into our communit? https://t.co/CJfEPRKfAO|||0|@caseliskar,@SecretarySonny,@TwinMetals,@SuperiorNF,@MinnesotaMiners|positive
1016445706704506882|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @R?|||10|@MinnesotaMiners,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman|positive
1016445705530036225|07-09-2018|RT @caseliskar: @SecretarySonny Tourism alone can not sustain NE Minnesota's economy. We need copper nickel mining to do that. This is why?|||9|@caseliskar,@SecretarySonny|positive
1016445599028252672|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @JeffSmalls @RepJa?|||9|@MinnesotaMiners,@POTUS,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman,@JeffSmalls|positive
1016445547438313472|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016445513183481857|07-09-2018|RT @LaraLeaTrump: Thank u @SecretarySonny & John & Sadie Middleton! The Middletons are Maryland dog breeders taking great care to raise the?|||148|@LaraLeaTrump,@SecretarySonny|positive
1016445477997481985|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @J?|||9|@MinnesotaMiners,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman|positive
1016445435421102086|07-09-2018|RT @USDA: Don't let food poisoning crash your #wedding! Check out these tips from @USDAFoodSafety - https://t.co/l5p1szCUVt https://t.co/lp?|#wedding||13|@USDA,@USDAFoodSafety|positive
1016445373425049605|07-09-2018|RT @MinnesotaMiners: @SecretarySonny Tourism alone can not sustain NE Minnesota's economy. We need copper nickel mining to do that. This is?|||11|@MinnesotaMiners,@SecretarySonny|positive
1016445358677913600|07-09-2018|@SecretarySonny Tourism alone can not sustain NE Minnesota's economy. We need copper nickel mining to do that. This? https://t.co/JRcKFnRj48|||9|@SecretarySonny|positive
1016445259839168512|07-09-2018|@PeckAgEc @USDA_ARS @USDA_NRCS @USDAClimateHubs @JustinDernerWY @Wkolby @NREL_EcoPress @DroughtCenter I?d say that? https://t.co/7Ur4bq9Qfm|||0|@PeckAgEc,@USDA_ARS,@USDA_NRCS,@USDAClimateHubs,@JustinDernerWY,@Wkolby,@NREL_EcoPress,@DroughtCenter|positive
1016445072638955520|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretarySonny @SecretaryZinke @SecretaryAcosta @USRepRickNolan @RepTomEmmer @RepTimWalz @RepErikPaulsen @RepJ?|||9|@MinnesotaMiners,@POTUS,@SecretarySonny,@SecretaryZinke,@SecretaryAcosta,@USRepRickNolan,@RepTomEmmer,@RepTimWalz,@RepErikPaulsen|positive
1016444228120006656|07-09-2018|@James_Stacey_ "Busy afternoon addressing the nation." - @James_Stacey_ .
Whirlwind tour. Try to see? https://t.co/XCY4wS1Uvm|||0|@James_Stacey_,@James_Stacey_|positive
1016444200735236096|07-09-2018|RT @PatriciaHammes2: @POTUS @RangeReporter @KarinHousley @RepTomEmmer @SecretaryZinke @SecretarySonny @GoPolyMet @TwinMetals @NatResources?|||7|@PatriciaHammes2,@POTUS,@RangeReporter,@KarinHousley,@RepTomEmmer,@SecretaryZinke,@SecretarySonny,@GoPolyMet,@TwinMetals,@NatResources|positive
