tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName|attitude
1017819708576239617|07-13-2018|RT @forestservice: The @USDA Forest Service has many programs aimed at teaching kids about forests and grasslands and developing the next g?|||3|@forestservice,@USDA|positive
1017819280510017536|07-13-2018|@TomWilk2 @81118 @GrowthEnergy @USDA @EPA Lucky to have 2 stations near me selling Real gas, good for my ancient ve? https://t.co/PH401S2pV6|||0|@TomWilk2,@81118,@GrowthEnergy,@USDA,@EPA|positive
1017819261635477504|07-13-2018|@FarmPolicy @SanfordBishop @rosadelauro @USDA . @SecretarySonny  Is a puppet that will do whatever he's told. He ha? https://t.co/U43n4xMV9X|||0|@FarmPolicy,@SanfordBishop,@rosadelauro,@USDA,@SecretarySonny|positive
1017819187786534912|07-13-2018|@USDA_AMS @USDA Only need two species each gender! Two goats & two sheep @JapanGov @HHSGov what wrong with u nitwit? https://t.co/fKmvrGq99K|||0|@USDA_AMS,@USDA,@JapanGov,@HHSGov|positive
1017819068533964800|07-13-2018|@sendavidperdue @SecretarySonny @GOP There so many topics you could discuss...but we know you won't bc you sold you? https://t.co/HAOk3Zz2tm|||0|@sendavidperdue,@SecretarySonny,@GOP|positive
1017818930096766976|07-13-2018|RT @RepLouBarletta: Great meeting yesterday at the @WhiteHouse on improving animal welfare standards to better protect dogs at puppy mills.?|||146|@RepLouBarletta,@WhiteHouse|positive
1017818867027140608|07-13-2018|@sendavidperdue @SecretarySonny Or maybe the failure of this majority @GOP Congress to provide any meaningful check? https://t.co/sxc5fKAGHF|||0|@sendavidperdue,@SecretarySonny,@GOP|positive
1017818783652573185|07-13-2018|RT @forestservice: The @USDA Forest Service has many programs aimed at teaching kids about forests and grasslands and developing the next g?|||3|@forestservice,@USDA|positive
1017818740640006144|07-13-2018|@sendavidperdue @FarmPolicy @SecretarySonny How them trade tariffs going cuz???|||0|@sendavidperdue,@FarmPolicy,@SecretarySonny|positive
1017818407750852608|07-13-2018|@sendavidperdue @SecretarySonny Definitely Working Class People Being Comfortable Working with Their Hands.

Hey, D? https://t.co/Q82vlI4Ygk|||0|@sendavidperdue,@SecretarySonny|positive
1017818344546881538|07-13-2018|RT @sendavidperdue: Thrilled to welcome my cuz @SecretarySonny back to South Georgia today! https://t.co/pgEHOOaIDz|||8|@sendavidperdue,@SecretarySonny|positive
1017818333293531137|07-13-2018|RT @USDA: In 2014, USDA partnered with @USAID to provide funding support to enable the work of the @godanSec. Learn how open data is enabli?|||8|@USDA,@USAID,@godanSec|positive
