tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName
1031692330686767106|08-20-2018|RT @President1Trump: So who?s running the @USDA? After @POTUS says he wants abled bodied people to work for food stamps, the USDA is not im?|||17|@President1Trump,@USDA,@POTUS
1031692322793312258|08-20-2018|@FoxNews @USDA Let?s say your paralyzed. Your voice still works and phone calls can be your job.|||0|@FoxNews,@USDA
1031692188147625984|08-20-2018|RT @President1Trump: So who?s running the @USDA? After @POTUS says he wants abled bodied people to work for food stamps, the USDA is not im?|||17|@President1Trump,@USDA,@POTUS
1031691887105777665|08-20-2018|@HughesVictor76 @FoxNews @USDA I?m all for that, except I?m afraid it?s the kids who would suffer.|||0|@HughesVictor76,@FoxNews,@USDA
1031691555252432901|08-20-2018|RT @President1Trump: So who?s running the @USDA? After @POTUS says he wants abled bodied people to work for food stamps, the USDA is not im?|||17|@President1Trump,@USDA,@POTUS
1031691533177815040|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031691513913401344|08-20-2018|@bunionbutt @FoxNews @USDA Because we?re not smart enough to know how to work the system!?Seriously, it infuriates? https://t.co/hn07xx7tNq|||0|@bunionbutt,@FoxNews,@USDA
1031691416303370240|08-20-2018|RT @VegNews: The @USDA is at it again, bailing out the milk industry with a whopping $50 million cash infusion. #govegan >> https://t.co/OB?|#govegan||17|@VegNews,@USDA
1031691216180731907|08-20-2018|RT @President1Trump: So who?s running the @USDA? After @POTUS says he wants abled bodied people to work for food stamps, the USDA is not im?|||17|@President1Trump,@USDA,@POTUS
1031690819038859264|08-20-2018|@FoxNews @USDA ...#GetToWORK|#GetToWORK||0|@FoxNews,@USDA
1031690737966927878|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031690665007050756|08-20-2018|@FoxNews @USDA This isn't right...they sell the EBT CARDS ..I've seen the abuses.  .Get rid of EBT Is my solution .|||0|@FoxNews,@USDA
1031690622669922305|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031690533327003648|08-20-2018|RT @President1Trump: So who?s running the @USDA? After @POTUS says he wants abled bodied people to work for food stamps, the USDA is not im?|||17|@President1Trump,@USDA,@POTUS
1031690431308988417|08-20-2018|@1qaz59215036 @FoxNews @USDA Maybe they would be able to pick up litter in their areas. At least they would be cont? https://t.co/EXZmTZcchH|||0|@1qaz59215036,@FoxNews,@USDA
1031690100692799488|08-20-2018|RT @President1Trump: So who?s running the @USDA? After @POTUS says he wants abled bodied people to work for food stamps, the USDA is not im?|||17|@President1Trump,@USDA,@POTUS
1031690067440365568|08-20-2018|| Fox News @FoxNews While the president says he wants able-bodied adults to work for food stamps, that's not what t? https://t.co/edeHyio9aU|||0|@FoxNews
1031689841531138048|08-20-2018|So who?s running the @USDA? After @POTUS says he wants abled bodied people to work for food stamps, the USDA is not? https://t.co/65V5CatA6h|||17|@USDA,@POTUS
1031689453067292673|08-20-2018|@FoxNews @USDA All forms of government assistance should have some form of work requirement.|||0|@FoxNews,@USDA
1031689169897238530|08-20-2018|@linksmechanix @MKronader @SoozyQRLM @FoxNews @USDA I live in a blue state and that's the problem, they throw taxpa? https://t.co/g715lYdJRq|||0|@linksmechanix,@MKronader,@SoozyQRLM,@FoxNews,@USDA
1031688936450613248|08-20-2018|@FoxNews @USDA https://t.co/rNJNAzDe6n|||0|@FoxNews,@USDA
1031688719344889856|08-20-2018|RT @LaraLeaTrump: Thank u @SecretarySonny & John & Sadie Middleton! The Middletons are Maryland dog breeders taking great care to raise the?|||162|@LaraLeaTrump,@SecretarySonny
1031688308743659520|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031688206008442880|08-20-2018|RT @cfra: A recent GAO report shows abuse of @USDA payments, with one farming operation - comprised of two individuals and 32 corporations?|||6|@cfra,@USDA
1031688143513243648|08-20-2018|RT @CivilEats: For the first time ever, the @USDA will buy up milk from dairy farmers. It'll go to soup kitchens and food banks to help peo?|||33|@CivilEats,@USDA
1031688105634549765|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031688065331486720|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031688058998083585|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031687738288951296|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031687636174495744|08-20-2018|RT @ItsEdBall: Thinking about a home design upgrade? Work some trees into the mix. According to the @USDA Forest Service, healthy #trees ca?|#trees||1|@ItsEdBall,@USDA
1031687596601212928|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031687413498880000|08-20-2018|@lynsquilts @FoxNews @USDA Wrong. You're just spewing nonsense that's based on biased opinions. 
Do people work par? https://t.co/vZEnXrH8yT|||0|@lynsquilts,@FoxNews,@USDA
1031687403877097472|08-20-2018|". . . and that they should proclaim it and publish it in all their towns and in Jerusalem, 'Go out to the hills an? https://t.co/Clg0lLhyr5|||0|
1031687224834711552|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031687144295657472|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031687039870222336|08-20-2018|@welovegv @ScottGottliebMD @US_FDA I think that?s the job of  @FTC not @US_FDA but, really it should be addressed.? https://t.co/wIsG79GDjC|||0|@welovegv,@ScottGottliebMD,@US_FDA,@FTC,@US_FDA
1031686515347386368|08-20-2018|@LostHighway9 @NaytDX @FoxNews @USDA It?s not easy to get food stamps.The earning threshold is a joke.They don?t ta? https://t.co/ulgQaqo8Fn|||0|@LostHighway9,@NaytDX,@FoxNews,@USDA
1031686369838542848|08-20-2018|@FoxNews @USDA Bring back "earn your keep"|||0|@FoxNews,@USDA
1031686310652792832|08-20-2018|@FoxNews @USDA Eliminate Food Stamps For All!!!|||0|@FoxNews,@USDA
1031686210496987136|08-20-2018|RT @USDA_NRCS: ?Healthier soil long-term means more crop sustainability and better yields with fewer inputs.? https://t.co/vCrbiPRh90 #Wate?|||35|@USDA_NRCS
1031686014207709184|08-20-2018|RT @BayleeB79: @USDA_NRCS In 'healthy' soils yes, but not when toxic chemicals are sprayed via #Geoengineering #Chemtrails 24/7. 
@DanPeaco?|#Geoengineering,#Chemtrails||4|@BayleeB79,@USDA_NRCS
1031685810335244290|08-20-2018|@ConcernedofTW @USAmbUK @USDAForeignAg @USDA @DefraGovUK @SecretarySonny @michaelgove @tradegovuk Yet you?re happy? https://t.co/tu2tReRF2C|||0|@ConcernedofTW,@USAmbUK,@USDAForeignAg,@USDA,@DefraGovUK,@SecretarySonny,@michaelgove,@tradegovuk
1031685769080000513|08-20-2018|@FoxNews @USDA Some could do, some can't, some have personally problems that also make it hard to work in public or? https://t.co/n6VQfY14BJ|||0|@FoxNews,@USDA
1031685727539654656|08-20-2018|@FoxNews @USDA If the states want to continue waiving work requirements in return for food stamps then they should? https://t.co/pawV4rWq9I|||0|@FoxNews,@USDA
1031685235610734592|08-20-2018|@Ninys_Universe @FoxNews @USDA If people are able to work they are told they should work 15-20 hours a week. That's? https://t.co/1ElLOMWQuz|||0|@Ninys_Universe,@FoxNews,@USDA
1031684993049866241|08-20-2018|@FoxNews @USDA I do agree that nobody should get anything for free. So it?s a thumbs up for me...I guess.|||0|@FoxNews,@USDA
1031684860962725891|08-20-2018|RT @IDAUSA: Hundreds of #doctors gathered in front of the @WhiteHouse this week to  protest against the United States Department of Agricul?|#doctors||22|@IDAUSA,@WhiteHouse
1031684549170876417|08-20-2018|@FoxNews @USDA Aren?t food stamps state administered, like Medicaid? If so, not all of these states are necessarily? https://t.co/937xRSUZhB|||0|@FoxNews,@USDA
1031684419839582208|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031684173273198594|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031683975880876034|08-20-2018|@FoxNews @USDA Also, how can they chose to avoid following the laws?|||0|@FoxNews,@USDA
1031683770238361601|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031683748956438528|08-20-2018|@FoxNews @USDA That sounds about right!  If someone is giving you food you will be indebt to them! A vote won!  Unf? https://t.co/jPZCOImJJu|||0|@FoxNews,@USDA
1031683691825823745|08-20-2018|RT @USDA: #ICYMI: @SecretarySonny unveils a new forest management strategy that will feature more federal, state & local collaboration. Hav?|#ICYMI||26|@USDA,@SecretarySonny
1031683691729174528|08-20-2018|RT @HughesVictor76: @FoxNews @USDA Used to be if you don?t work you don?t eat. Let?s get back to that!|||1|@HughesVictor76,@FoxNews,@USDA
1031683625798971393|08-20-2018|RT @ormeyogi: @FoxNews @USDA Is work available ?|||1|@ormeyogi,@FoxNews,@USDA
1031683546207813632|08-20-2018|RT @Ninys_Universe: @FoxNews @USDA Clearly people are working, yet obviously not paid enough which is why assistance is needed. There's a t?|||1|@Ninys_Universe,@FoxNews,@USDA
1031683352741531649|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031683298731479041|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031683197770366977|08-20-2018|@FoxNews @USDA But the rich just got a whole lot richer.... for no other reason except #TraitorTrump gets richer along the way.|#TraitorTrump||0|@FoxNews,@USDA
1031683089917853697|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682989778919425|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682981197438981|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682909089026049|08-20-2018|RT @USDA_NRCS: Interested in #conservation? We?re here to help you get started. https://t.co/bJLQcVPsMU https://t.co/QQyqNxjOS6|#conservation||11|@USDA_NRCS
1031682629333143557|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682596349112322|08-20-2018|RT @CivilEats: For the first time ever, the @USDA will buy up milk from dairy farmers. It'll go to soup kitchens and food banks to help peo?|||33|@CivilEats,@USDA
1031682563042168832|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682491235610624|08-20-2018|RT @USDA: A look at Urban Farming around New York City, where a vast majority of farmers and operators are women, historically underserved,?|||57|@USDA
1031682314936442880|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682297131495424|08-20-2018|@LostHighway9 @NaytDX @FoxNews @USDA The leftists said nothing when social security disability benefits were declin? https://t.co/5ZqxJAYcKY|||0|@LostHighway9,@NaytDX,@FoxNews,@USDA
1031682247118737408|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682169461202944|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682109167955969|08-20-2018|@FoxNews @USDA Maybe first stop the free cell phones to talk to family & friends in 3rd world countries!|||0|@FoxNews,@USDA
1031682085969379333|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031682079740899329|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681943082033152|08-20-2018|RT @ChrisNagusKMOV: UPDATE: Just got a call back from @STLPartnership. The #STL region will be making a competitive bid to attract 700 high?|#STL||12|@ChrisNagusKMOV,@STLPartnership
1031681765079961600|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681689355993088|08-20-2018|RT @USDA: A look at Urban Farming around New York City, where a vast majority of farmers and operators are women, historically underserved,?|||57|@USDA
1031681615590842369|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681559097745409|08-20-2018|@FoxNews @USDA @realDonaldTrump @DonaldJTrumpJr|||0|@FoxNews,@USDA,@realDonaldTrump,@DonaldJTrumpJr
1031681432442363904|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681426004041728|08-20-2018|RT @NotBot95265727: @FoxNews @USDA OK, not that we see it?s broken let?s fix it & make it right! @POTUS @realDonaldTrump #WorkTogether|#WorkTogether||2|@NotBot95265727,@FoxNews,@USDA,@POTUS,@realDonaldTrump
1031681387286482944|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681373046628352|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681276800126978|08-20-2018|@FoxNews @USDA This doesn't seem very difficult to figure out - would love to hear how the left backs their reasoning ...|||0|@FoxNews,@USDA
1031681274098929665|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681151583309824|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681128887812096|08-20-2018|RT @AdsSoWhite: @FoxNews @USDA https://t.co/gxfYFI925N|||1|@AdsSoWhite,@FoxNews,@USDA
1031681085581783040|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681075083399168|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681064270475264|08-20-2018|RT @FoxNews: While the president says he wants able-bodied adults to work for food stamps, that's not what the @USDA is doing - waiving wor?|||166|@FoxNews,@USDA
1031681039293243392|08-20-2018|RT @Stephan34102340: @FoxNews @USDA Time em those free phones and get some alarm clocks!
#MAGA2KAG|#MAGA2KAG||1|@Stephan34102340,@FoxNews,@USDA
