tweetId|tweetDate|tweetText|hashTag|hashtagList|location|numberRetweets|userMentions_userName|attitude
1012347714812678144|06-28-2018|RT @FishMaki: @RepMcClintock @repdonyoung @RepStevePearce @RepWesterman @RepLaHood @RepWebster @RepDavidRouzer @RepJackBergman @RepLizChene?||||3|@FishMaki,@RepMcClintock,@repdonyoung,@RepStevePearce,@RepWesterman,@RepLaHood,@RepWebster,@RepDavidRouzer,@RepJackBergman|positive
1012347415725305862|06-28-2018|RT @PatriciaHammes2: @SecretaryZinke @SecretarySonny Follow @POTUS lead and end the politically motivated mineral withdrawal in @SuperiorNF?||||1|@PatriciaHammes2,@SecretaryZinke,@SecretarySonny,@POTUS,@SuperiorNF|positive
1012347384876105729|06-28-2018|RT @ToTamTam: @Frisco_G @FreeKatoAndKleo @Eviljohna @ttgarby @BadAssKittyG @ChrisMurphyCT @DonCheadle @townofhamden @curtleng @USDA @AP @do?||||6|@ToTamTam,@Frisco_G,@FreeKatoAndKleo,@Eviljohna,@ttgarby,@BadAssKittyG,@ChrisMurphyCT,@DonCheadle,@townofhamden,@curtleng,@USDA,@AP|positive
1012347367306211328|06-28-2018|@SenMikeLee @SenJohnBarrasso @SenatorRisch @SteveDaines @CoryGardner @SenatorStrange @SenJohnHoeven @Unitedminingal? https://t.co/JaAmnBdYjn||||1|@SenMikeLee,@SenJohnBarrasso,@SenatorRisch,@SteveDaines,@CoryGardner,@SenatorStrange,@SenJohnHoeven,@Unitedminingal|positive
1012347344594063360|06-28-2018|RT @wefishhm70: @senorrinhatch @SenJohnBarrasso @SenJohnHoeven @SenMikeLee @SteveDaines @lisamurkowski @SenatorEnzi @POTUS @DOIDepSec @Secr?||||1|@wefishhm70,@senorrinhatch,@SenJohnBarrasso,@SenJohnHoeven,@SenMikeLee,@SteveDaines,@lisamurkowski,@SenatorEnzi,@POTUS,@DOIDepSec|positive
1012347333651005441|06-28-2018|RT @GrowthEnergy: Thank you @SecretarySonny, @SenJoniErnst, and @ChuckGrassley for standing up for farm families and continuing to push for?||||929|@GrowthEnergy,@SecretarySonny,@SenJoniErnst,@ChuckGrassley|positive
1012347329557430274|06-28-2018|RT @wefishhm70: @POTUS @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @amyklobuchar @sentinasmi?||||1|@wefishhm70,@POTUS,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@amyklobuchar|positive
1012347303968018434|06-28-2018|RT @wefishhm70: @RepMcClintock @repdonyoung @RepStevePearce @Raul_Labrador @RepWesterman @RepLaHood @RepDavidRouzer @RepJackBergman @RepLiz?||||1|@wefishhm70,@RepMcClintock,@repdonyoung,@RepStevePearce,@Raul_Labrador,@RepWesterman,@RepLaHood,@RepDavidRouzer,@RepJackBergman|positive
1012347268442320897|06-28-2018|RT @wefishhm70: @RepGosar @Replouiegohmert @RepDLamborn @RobWittman @RepStevePearce @RepLizCheney @RepWesterman @CongressmanHice @RepLaHood?||||2|@wefishhm70,@RepGosar,@replouiegohmert,@RepDLamborn,@RobWittman,@RepStevePearce,@RepLizCheney,@RepWesterman,@CongressmanHice,@RepLaHood|positive
1012347239891652608|06-28-2018|RT @wefishhm70: @RepGosar @Replouiegohmert @RepDLamborn @RobWittman @RepStevePearce @RepLizCheney @RepRobBishop @RepGarretGraves @RepWester?||||3|@wefishhm70,@RepGosar,@replouiegohmert,@RepDLamborn,@RobWittman,@RepStevePearce,@RepLizCheney,@RepRobBishop,@RepGarretGraves|positive
