tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName
1030242666364035072|08-16-2018|@RepJeffDenham @SecretarySonny SanFranMan (aka Josh Harder) wants ag H2O flushed into ocean. Harder doesnt understa? https://t.co/c5AlyduUJb|||0|@RepJeffDenham,@SecretarySonny
1030242539134246912|08-16-2018|RT @USDANutrition: The @USDA Summer Meal Programs fill the #nutrition gap for low-income children who rely on the national #schoollunch & #?|#nutrition,#schoollunch||11|@USDANutrition,@USDA
1030242129329745925|08-16-2018|@POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @KMBenedetto @USRepRickNolan @RepTomEmmer? https://t.co/JbSDpSrRoF|||1|@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@KMBenedetto,@USRepRickNolan,@RepTomEmmer
1030242111457775617|08-16-2018|@USDA @forestservice Nice publication but we need much more cooperation and expertise in the field. Controlled burns work. Be proactive.|||0|@USDA,@forestservice
1030241983954968576|08-16-2018|RT @SecretarySonny: Today we released a new @forestservice strategy for managing catastrophic wildfires and the impacts of invasive species?|||43|@SecretarySonny,@forestservice
1030241895472095235|08-16-2018|@POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @KMBenedetto @USRepRickNolan @RepTomEmmer @RepGosar? https://t.co/wzt6spmnym|||2|@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@KMBenedetto,@USRepRickNolan,@RepTomEmmer,@RepGosar
1030241804304769024|08-16-2018|@POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @KMBenedetto @USRepRickNolan @RepTomEmmer @RepGosar? https://t.co/rWYNRHtuQX|||1|@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@KMBenedetto,@USRepRickNolan,@RepTomEmmer,@RepGosar
1030241679255719937|08-16-2018|@POTUS @SecretaryZinke @SecretarySonny @EPAAWheeler @DOIDepSec @DOIPressSec @KMBenedetto @RepGosar @RepWesterman? https://t.co/gW3lJKNUNj|||2|@POTUS,@SecretaryZinke,@SecretarySonny,@EPAAWheeler,@DOIDepSec,@DOIPressSec,@KMBenedetto,@RepGosar,@RepWesterman
1030241498225418240|08-16-2018|@POTUS @SecretaryZinke @SecretarySonny @EPAAWheeler @DOIDepSec @DOIPressSec @KMBenedetto @RepGosar @RepWesterman? https://t.co/5b3sx8FUjX|||1|@POTUS,@SecretaryZinke,@SecretarySonny,@EPAAWheeler,@DOIDepSec,@DOIPressSec,@KMBenedetto,@RepGosar,@RepWesterman
1030241083924602880|08-16-2018|RT @VegNews: The @USDA is at it again, bailing out the milk industry with a whopping $50 million cash infusion. #govegan >> https://t.co/OB?|#govegan||14|@VegNews,@USDA
1030241077486338048|08-16-2018|@POTUS @SecretarySonny @DOIDepSec @DOIPressSec @forestservice @Interior @USRepRickNolan @RepGosar @RepWesterman? https://t.co/H2QvwdvqiM|||2|@POTUS,@SecretarySonny,@DOIDepSec,@DOIPressSec,@forestservice,@Interior,@USRepRickNolan,@RepGosar,@RepWesterman
1030240999363293184|08-16-2018|@SecretarySonny @forestservice We had this figured out in the 1990's when I worked for NRCS in California. Working? https://t.co/KrsFSKwDTb|||0|@SecretarySonny,@forestservice
1030240987405316096|08-16-2018|@POTUS @SecretarySonny @DOIDepSec @DOIPressSec @forestservice @Interior @USRepRickNolan @RepGosar @RepWesterman? https://t.co/g7uxZbfPn1|||1|@POTUS,@SecretarySonny,@DOIDepSec,@DOIPressSec,@forestservice,@Interior,@USRepRickNolan,@RepGosar,@RepWesterman
1030240543417217024|08-16-2018|RT @USDA: The USDA @forestservice today announced a new strategy for managing catastrophic #wildfires and the impacts of invasive species,?|#wildfires||43|@USDA,@forestservice
1030239725745926144|08-16-2018|RT @VegNews: The @USDA is at it again, bailing out the milk industry with a whopping $50 million cash infusion. #govegan >> https://t.co/OB?|#govegan||14|@VegNews,@USDA
1030239266469801984|08-16-2018|RT @VegNews: The @USDA is at it again, bailing out the milk industry with a whopping $50 million cash infusion. #govegan >> https://t.co/OB?|#govegan||14|@VegNews,@USDA
1030238741770764292|08-16-2018|RT @usdafsa: Don?t wait to protect your land & wildlife habitat! Tomorrow is the last day to enroll in the voluntary continuous #Conservati?|||15|@usdafsa
