tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName
1027342859035467777|08-08-2018|@ThomLourim @AllisonMickey1 @SteveScalise @USDA Anything from cnn is a lie|||0|@ThomLourim,@AllisonMickey1,@SteveScalise,@USDA
1027341850716397569|08-08-2018|RT @SBALinda: This week is @USDA National #FarmersMarketWeek and the @SBAgov is celebrating all the small businesses that got their start a?|#FarmersMarketWeek||34|@SBALinda,@USDA,@SBAgov
1027341593458528256|08-08-2018|@DHSgov @RepMcCaul @VP #Agriculture is critical infrastructure. 

I am concerned that current @USDA efforts to prom? https://t.co/fhiunv0Qw7|#Agriculture||0|@DHSgov,@RepMcCaul,@VP,@USDA
1027341205917642753|08-08-2018|US government seeks pollock for school lunches >> https://t.co/XJ5PlQJfwt | #seafood #pollock @USDA https://t.co/93No5UGqOn|#seafood,#pollock||1|@USDA
1027340284462620674|08-08-2018|RT @SBALinda: This week is @USDA National #FarmersMarketWeek and the @SBAgov is celebrating all the small businesses that got their start a?|#FarmersMarketWeek||34|@SBALinda,@USDA,@SBAgov
1027339751475609600|08-08-2018|RT @PiluGiraudo: En la previa de #SUSTENTOLOGIA aprovechando especialistas y técnicos de lujo nacionales y globales en distintas zonas @IPN?|#SUSTENTOLOGIA||7|@PiluGiraudo
1027338166926077952|08-08-2018|RT @SBALinda: This week is @USDA National #FarmersMarketWeek and the @SBAgov is celebrating all the small businesses that got their start a?|#FarmersMarketWeek||34|@SBALinda,@USDA,@SBAgov
1027337976106426373|08-08-2018|@sendavidperdue @SecretarySonny https://t.co/WS9m9QAh4Z|||0|@sendavidperdue,@SecretarySonny
1027337319341326336|08-08-2018|RT @USDA_NRCS: Good forest management removes fuel, starving wildfires. When the #wildfire reached John?s land, it soon fizzled out.  https?|#wildfire||7|@USDA_NRCS
1027337274273538049|08-08-2018|RT @SBALinda: This week is @USDA National #FarmersMarketWeek and the @SBAgov is celebrating all the small businesses that got their start a?|#FarmersMarketWeek||34|@SBALinda,@USDA,@SBAgov
1027337218799620097|08-08-2018|RT @FarmersGov: Defying conventional wisdom, soil sensors show more moisture in the field with cover crops than in the field left fallow. h?|||21|@FarmersGov
1027337114080497664|08-08-2018|RT @USDA_NRCS: Managing natural disasters starts with strong planning. Texas rancher Kregg McKenny worked with NRCS to develop an alternati?|||4|@USDA_NRCS
1027336873503543296|08-08-2018|@SteveScalise @USDA Looks like the argument goes against you there Steve|||0|@SteveScalise,@USDA
1027335760482107392|08-08-2018|@SteveScalise @USDA Is there anyone in the GOP who doesn't lie, lie, lie?|||0|@SteveScalise,@USDA
1027333358286585863|08-08-2018|RT @SecretarySonny: We're always working to open new markets for American agricultural products. Proud to announce w/@USTradeRep Amb. Light?|||49|@SecretarySonny,@USTradeRep
1027332831566077960|08-08-2018|RT @SBALinda: This week is @USDA National #FarmersMarketWeek and the @SBAgov is celebrating all the small businesses that got their start a?|#FarmersMarketWeek||34|@SBALinda,@USDA,@SBAgov
1027332717262843904|08-08-2018|RT @DefendersGovRel: Read this strong letter from ranking members of @EnergyDems, @EPWDems, @SenateAgDems & @NRDems to @SecretaryZinke & @S?|||7|@DefendersGovRel,@EnergyDems,@EPWDems,@SenateAgDems,@NRDems,@SecretaryZinke
1027331404861005824|08-08-2018|@SteveScalise @USDA No chance any people just weren't qualified any more? All of them went on to full-time work tha? https://t.co/GGc4q3qgKW|||0|@SteveScalise,@USDA
1027330531015491584|08-08-2018|RT @SBALinda: This week is @USDA National #FarmersMarketWeek and the @SBAgov is celebrating all the small businesses that got their start a?|#FarmersMarketWeek||34|@SBALinda,@USDA,@SBAgov
1027329513296879616|08-08-2018|RT @ForestServiceNW: Is smoke from nearby #wildfires impacting you or your family? Watch for tips on how to mitigate some of the harmful ef?|#wildfires||19|@ForestServiceNW
1027329249978462208|08-08-2018|RT @katefickas: #LadyofLandsat and #LST member Martha Anderson @MarthaA64539622 from @USDA uses @NASA_Landsat evapotranspiration maps to mo?|#LadyofLandsat,#LST||6|@katefickas,@MarthaA64539622,@USDA,@NASA_Landsat
1027329227765555200|08-08-2018|@teamtobinhomes @EEmersonWhite @SteveScalise @USDA @GOP Nope, that's called Trumpcare, or Trump's sabotage attempts to the ACA.|||0|@teamtobinhomes,@EEmersonWhite,@SteveScalise,@USDA,@GOP
1027329032885547014|08-08-2018|@SteveScalise @USDA How about millions of people have been CUT OFF SNAP? There is more need for a safety net NOW than ever before.|||0|@SteveScalise,@USDA
