tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName,,,,,,,,,,
1026979733949636610|08-07-2018|RT @USDA: Agriculture @SecretarySonny proclaims August 5-11,2018, as National #FarmersMarketWeek - https://t.co/gXXKyd2RxH https://t.co/vE?|#FarmersMarketWeek||62|@USDA,@SecretarySonny,,,,,,,
1026979681533341696|08-07-2018|RT @macgowans: @SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. No doctors?|||14|@macgowans,@SteveScalise,@USDA,@GOP,,,,,,,
1026979678370885634|08-07-2018|@Wallydog12967 @GowdyBoogaloo @RachelSuperEli1 @WhiteHouse @USDA Stop whining.|||0|@Wallydog12967,@GowdyBoogaloo,@RachelSuperEli1,@WhiteHouse,@USDA,,,,,,
1026979647450505216|08-07-2018|.@collinpeterson concerned about @USDA trade aid package https://t.co/QamzYkCuwB #Farmfest18 #agnews @brownfield|#Farmfest18,#agnews||0|@collinpeterson,@USDA,@brownfield,,,,,,,
1026979575903993857|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026979568039673856|08-07-2018|@MikaylaStone8 @AngieCraigMN @Jason2CD @USDA You want farmers to fail with their tradewar soybean losses?  Trump is? https://t.co/suqXp6RWzh|||0|@MikaylaStone8,@AngieCraigMN,@Jason2CD,@USDA,,,,,,,
1026979445108891649|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026979440444760064|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026979383700086784|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026979313147629568|08-07-2018|RT @write2bheard1: @SteveScalise @USDA Another contender for Great American Liar contest. Believe it or not some of us actually read the EN?|||5|@write2bheard1,@SteveScalise,@USDA,,,,,,,,
1026979306843582464|08-07-2018|RT @fionawoods46: @SteveScalise @USDA Ins went up. Deductible way too high. Meds too high. Your tweet is delusional and out of touch with r?|||1|@fionawoods46,@SteveScalise,@USDA,,,,,,,,
1026979299163873280|08-07-2018|RT @usdafsa: Need help with ag losses from 2017 #hurricanes & #wildfires? Apply today. https://t.co/GAkNuPl7r9 https://t.co/iUwSz90qrB|#hurricanes,#wildfires||21|@usdafsa,,,,,,,,,
1026979290565500933|08-07-2018|RT @macgowans: @SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. No doctors?|||14|@macgowans,@SteveScalise,@USDA,@GOP,,,,,,,
1026979282176757760|08-07-2018|RT @Jillsey11: @SteveScalise @USDA By ballooning the deficit and deregulating banks? Sounds like a pending recipe for disaster. When are yo?|||5|@Jillsey11,@SteveScalise,@USDA,,,,,,,,
1026979280557887488|08-07-2018|RT @macgowans: @SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. No doctors?|||14|@macgowans,@SteveScalise,@USDA,@GOP,,,,,,,
1026979271573729280|08-07-2018|RT @KnowYourObama: @SteveScalise @USDA Uh, no. that would be Obama's economic policies. trump is putting us in reverse https://t.co/9oyQH3n?|||9|@KnowYourObama,@SteveScalise,@USDA,,,,,,,
1026979252133081089|08-07-2018|RT @EEmersonWhite: @SteveScalise @USDA My rates went _way_ up this year, and my deductible is almost ten times higher, making the insurance?|||14|@EEmersonWhite,@SteveScalise,@USDA,,,,,,
1026979240330244096|08-07-2018|RT @aorgat: @SteveScalise @USDA Pinocchio: Do you think if you all keep repeating the same BS it becomes real?  Get rid of the tax scam so?|||2|@aorgat,@SteveScalise,@USDA,,,,,,,,
1026979214400974848|08-07-2018|RT @kevinidge: @SteveScalise @USDA Our economy is booming? Let's see how tariffs negatively affect businesses in the next quarter. Coca-Col?|||2|@kevinidge,@SteveScalise,@USDA,,,,,,,,
1026979201113616386|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026979184755654657|08-07-2018|RT @KnowYourObama: @SteveScalise @USDA You've made all of your rich friends happy. Now they can hide their money overseas, commit tax fraud?|||3|@KnowYourObama,@SteveScalise,@USDA,,,,,,,
1026979144712708096|08-07-2018|RT @write2bheard1: @SteveScalise @USDA Another contender for Great American Liar contest. Believe it or not some of us actually read the EN?|||5|@write2bheard1,@SteveScalise,@USDA,,,,,,,,
1026979138144485377|08-07-2018|@skeila @AlanLevinovitz @NutritionWonk @kcklatt @USDA @NutritionWonk - strict Keto? Unrestricted protein?,,,,,,,,,,
@kcklatt? https://t.co/aFF13o7GT3|||0|@skeila,@AlanLevinovitz,@NutritionWonk,@kcklatt,@USDA,@NutritionWonk,@kcklatt,,,,
1026979125335011328|08-07-2018|@WhiteHouse @USDA The Trump administration continues to prioritize the opening of new markets for U.S. agricultural? https://t.co/jRPE07SRhM|||1|@WhiteHouse,@USDA,,,,,,,,,
1026979124126994432|08-07-2018|RT @SageWithAge: @SteveScalise @USDA THANKS TO PRESIDENT O'BAMA FOR BRINGING US THROUGH ONE OF THE WORST ECONOMIC DISASTERS!  Of course, no?|||4|@SageWithAge,@SteveScalise,@USDA,,,,,,,
1026979117613424642|08-07-2018|RT @KnowYourObama: @SteveScalise @USDA Uh, no. that would be Obama's economic policies. trump is putting us in reverse https://t.co/9oyQH3n?|||9|@KnowYourObama,@SteveScalise,@USDA,,,,,,,
1026979092321587200|08-07-2018|RT @sjapaddock: @SteveScalise @USDA I don?t know anyone who is better off. Open your eyes! No one can be this blind.|||1|@sjapaddock,@SteveScalise,@USDA,,,,,,,,
1026979074227548163|08-07-2018|RT @EEmersonWhite: @SteveScalise @USDA My rates went _way_ up this year, and my deductible is almost ten times higher, making the insurance?|||14|@EEmersonWhite,@SteveScalise,@USDA,,,,,,
1026979067545804800|08-07-2018|@WhiteHouse @USDA @realDonaldTrump @POTUS @WhiteHouse @VP @KellyannePolls What's your input about Judicial Watch?|||0|@WhiteHouse,@USDA,@realDonaldTrump,@POTUS,@WhiteHouse,@VP,@KellyannePolls,,,,
1026979046213730307|08-07-2018|@SteveScalise @USDA By ballooning the deficit and deregulating banks? Sounds like a pending recipe for disaster. Wh? https://t.co/sNgMdO4c7q|||5|@SteveScalise,@USDA,,,,,,,,,
1026979032603095041|08-07-2018|RT @hanae_56_20: @SteveScalise @USDA  https://t.co/u724zktlTo|||2|@hanae_56_20,@SteveScalise,@USDA,,,,,,,,
1026979017696661504|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026979006657130496|08-07-2018|This is why the @USDA exists, guys.,,,,,,,,,
,,,,,,,,,,
TL;DR A heat wave across Finland has led to extraordinarily dry conditions, re? https://t.co/k7yhYFNhU5|||0|@USDA,,,,,,,,,
1026978990198730753|08-07-2018|RT @chrisgtaylor: @SteveScalise @USDA  https://t.co/B6mpE3sIO0|||5|@chrisgtaylor,@SteveScalise,@USDA,,,,,,,,
1026978968241467392|08-07-2018|RT @tfemaker: @SteveScalise @USDA Yet BLS statistics indicate hourly workers have seen a 0.2% reduction in REAL WAGES in the last 12 months?|||4|@tfemaker,@SteveScalise,@USDA,,,,,,,,
1026978961387970560|08-07-2018|@SteveScalise @RealCharlesMoon @USDA @SteveScalise Imagine if we get refugees to STOP and illegals using SNAP,  we? https://t.co/0mXXkUJmwZ|||4|@SteveScalise,@RealCharlesMoon,@USDA,@SteveScalise,,,,,,
1026978960331169792|08-07-2018|@SteveScalise @USDA Ins went up. Deductible way too high. Meds too high. Your tweet is delusional and out of touch with reality.|||1|@SteveScalise,@USDA,,,,,,,,,
1026978876981800961|08-07-2018|RT @macgowans: @SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. No doctors?|||14|@macgowans,@SteveScalise,@USDA,@GOP,,,,,,,
1026978861228015616|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026978829678469121|08-07-2018|RT @EEmersonWhite: @SteveScalise @USDA My rates went _way_ up this year, and my deductible is almost ten times higher, making the insurance?|||14|@EEmersonWhite,@SteveScalise,@USDA,,,,,,
1026978812074971136|08-07-2018|RT @Starphoenix26: @SteveScalise @USDA keep deluding yourself with these policies and you will permanently damage the US economy.,,,,,,,,,,
not like?|||1|@Starphoenix26,@SteveScalise,@USDA,,,,,,,,
1026978747097001985|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026978691002368000|08-07-2018|@SteveScalise @USDA Stocks doing nicely too! MAGA ??|||0|@SteveScalise,@USDA,,,,,,,,,
1026978690788470784|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026978667451310082|08-07-2018|@SteveScalise @USDA Pinocchio: Do you think if you all keep repeating the same BS it becomes real?  Get rid of the? https://t.co/BpWVa1S1Vp|||2|@SteveScalise,@USDA,,,,,,,,,
1026978608236187648|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026978584764678145|08-07-2018|@SteveScalise @USDA Lies are all you Nazis have|||0|@SteveScalise,@USDA,,,,,,,,,
1026978573486305280|08-07-2018|RT @SageWithAge: @SteveScalise @USDA THANKS TO PRESIDENT O'BAMA FOR BRINGING US THROUGH ONE OF THE WORST ECONOMIC DISASTERS!  Of course, no?|||4|@SageWithAge,@SteveScalise,@USDA,,,,,,,
1026978552250617856|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026978516993232896|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026978493119254528|08-07-2018|@kcklatt @NutritionWonk @AlanLevinovitz @USDA Good to know - will correct that! ?|||0|@kcklatt,@NutritionWonk,@AlanLevinovitz,@USDA,,,,,,,
1026978324235673600|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026978303851282432|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026978297073295361|08-07-2018|@skeila @NutritionWonk @AlanLevinovitz @USDA Just a note: I'm doing the vegetarian version, definitely not vegan!! Relying heavily on cheese|||0|@skeila,@NutritionWonk,@AlanLevinovitz,@USDA,,,,,,
1026978288063971329|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026978287514472448|08-07-2018|@WhiteHouse @USDA That should solve all the trade problems. What'd you have to pay them to get them to do that?|||0|@WhiteHouse,@USDA,,,,,,,,,
1026978164528971777|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026978109604724736|08-07-2018|@SteveScalise @USDA Tell that to Puerto Rico.|||1|@SteveScalise,@USDA,,,,,,,,,
1026978092701691905|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
