tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName
1027705442527408128|08-09-2018|RT @Biodiesel_Media: Biodiesel is helping California reduce carbon emissions to record levels. Tell the @EPA to support homegrown, renewabl?|||78|@Biodiesel_Media,@EPA
1027705434956804096|08-09-2018|RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?|#California||157|@SecretaryZinke,@SecretarySonny
1027705288240062465|08-09-2018|RT @SecretarySonny: @USDA @USDA_ERS @USDA_NIFA Also realigning @USDA_ERS with the @USDA Chief Economist's office, under Office of the Secre?|||18|@SecretarySonny,@USDA,@USDA_ERS,@USDA_NIFA,@USDA_ERS,@USDA
1027704987336491008|08-09-2018|RT @SecretarySonny: To put @USDA folks closer to customers we serve & land grants, we're moving @USDA_ERS & @USDA_NIFA outside of D.C. area?|||50|@SecretarySonny,@USDA,@USDA_ERS,@USDA_NIFA
1027703685210460160|08-09-2018|RT @GFPJoy: ?@fresnostatechem? ?@CSMfresno? ?and @USDA? Parlier partnership with a productive and inspirational group of high school mentee?|||3|@GFPJoy,@fresnostatechem,@CSMfresno,@USDA
1027702400935755776|08-09-2018|@SecretarySonny @USDA @USDA_ERS @USDA_NIFA Stay out of Colorado please.  Salt Lake is better|||0|@SecretarySonny,@USDA,@USDA_ERS,@USDA_NIFA
1027702231934496768|08-09-2018|RT @TKO_RS_One: @DEAHQ @CIA @US_FDA @WhiteHouse @USDA @USDAFoodSafety @AmerMedicalAssn @KPShare @SenSanders @HHSGov @CDCgov #cannabis #Cann?|#cannabis||1|@TKO_RS_One,@DEAHQ,@CIA,@US_FDA,@WhiteHouse,@USDA,@USDAFoodSafety,@AmerMedicalAssn,@KPShare,@SenSanders,@HHSGov,@CDCgov
1027702138342989824|08-09-2018|RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?|#California||157|@SecretaryZinke,@SecretarySonny
1027701148428292096|08-09-2018|RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?|#California||157|@SecretaryZinke,@SecretarySonny
1027701148122144768|08-09-2018|RDML Yancy Lindsey, Commander Navy Region Southwest, speaks about veteran transition with JC Sherman, @USDA State o? https://t.co/ZUz91nDuwN|||0|@USDA
1027701088315756545|08-09-2018|RT @hiringourheroes: Today's Perspectives on Transition Panel includes reps from @USDOL, @USDA, @GenAtomics_ASI, and #milspouse @AMBRabe. #?|#milspouse||1|@hiringourheroes,@USDOL,@USDA,@GenAtomics_ASI,@AMBRabe
1027700612895391744|08-09-2018|RDML Yancy Lindsey, Commander Navy Region Southwest, speaks with a dozen representatives of Phoenix veteran organiz? https://t.co/rJGi4EqK9M|||0|
1027700327196184576|08-09-2018|RT @USDA_NRCS: ?Our farm is not one thing - it?s an ecosystem, not just of the natural world but one that includes people?the people who ma?|||8|@USDA_NRCS
1027700044890365953|08-09-2018|Thanks to @SecretarySonny and Mrs. Mary for joining us tonight at @museumofBible - @aigkenham and myself so enjoyed? https://t.co/s5Or6cVrOd|||0|@SecretarySonny,@museumofBible,@aigkenham
1027699987981979648|08-09-2018|RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?|#California||157|@SecretaryZinke,@SecretarySonny
1027699871095054336|08-09-2018|RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?|#California||157|@SecretaryZinke,@SecretarySonny
1027699842146070528|08-09-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||779|@WhiteHouse,@USDA
1027699748466176000|08-09-2018|RDML Yancy Lindsey, Commander Navy Region Southwest, shakes hands with JC Sherman, @USDA State of Arizona Rural Dev? https://t.co/mk0yYY471K|||0|@USDA
1027699680132714497|08-09-2018|RT @SecretarySonny: To put @USDA folks closer to customers we serve & land grants, we're moving @USDA_ERS & @USDA_NIFA outside of D.C. area?|||50|@SecretarySonny,@USDA,@USDA_ERS,@USDA_NIFA
1027699539040333824|08-09-2018|You and @SecretarySonny will be just as useless in Ca as you were when you both visited the Lolo Peak fire. It?s ju? https://t.co/rPRqF5rkiA|||0|@SecretarySonny
1027699414545129472|08-09-2018|@SecretaryZinke @SecretarySonny @POTUS @VP Stop these inhumane wild horse roundups! There are better ways! It is cr? https://t.co/fcZAa2Yluo|||0|@SecretaryZinke,@SecretarySonny,@POTUS,@VP
1027699318332026882|08-09-2018|RT @ForestServiceNW: Is smoke from nearby #wildfires impacting you or your family? Watch for tips on how to mitigate some of the harmful ef?|#wildfires||21|@ForestServiceNW
