tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName
1028791778416181248|08-12-2018|@SecretarySonny @POTUS The #welfare received by agricultural interests was only necessary because the loser occupyi? https://t.co/H9cTNjmFPO|#welfare||0|@SecretarySonny,@POTUS
1028791597742211072|08-12-2018|@Biodiesel_Media @EPA @SecretarySonny @realDonaldTrump Ha ha ha ha ha. Rubes in the true sense of the word. Trump g? https://t.co/uNknVpkX6D|||0|@Biodiesel_Media,@EPA,@SecretarySonny,@realDonaldTrump
1028791420721614848|08-12-2018|RT @Biodiesel_Media: America's farmers and soybean growers need certainty in the biofuel market. Join America's advanced biofuel producers?|||168|@Biodiesel_Media
1028790422733291520|08-12-2018|RT @Biodiesel_Media: America's farmers and soybean growers need certainty in the biofuel market. Join America's advanced biofuel producers?|||168|@Biodiesel_Media
1028789225670549504|08-12-2018|@BrianKempGA @SecretarySonny #GATrumpTrain ,

Have a look at this load! 

#RedWaveRising https://t.co/tKbGyfP2BO|#GATrumpTrain,#RedWaveRising||0|@BrianKempGA,@SecretarySonny
1028788172887605248|08-12-2018|RT @WordandtheWay: @Biodiesel_Media @EPA @SecretarySonny @realDonaldTrump California?s refusal to manage their forests and have a logging i?|||1|@WordandtheWay,@Biodiesel_Media,@EPA,@SecretarySonny,@realDonaldTrump
1028788144353632256|08-12-2018|RT @Biodiesel_Media: Biodiesel is helping California reduce carbon emissions to record levels. Tell the @EPA to support homegrown, renewabl?|||232|@Biodiesel_Media,@EPA
1028788037528875008|08-12-2018|RT @Ike_Kiefer: @Biodiesel_Media @EPA @SecretarySonny @realDonaldTrump As of Jan 2018 report by USA Dept of @ENERGY, retail biodiesel was $?|||4|@Ike_Kiefer,@Biodiesel_Media,@EPA,@SecretarySonny,@realDonaldTrump,@ENERGY
1028787019877629952|08-12-2018|@Biodiesel_Media @EPA @SecretarySonny @realDonaldTrump As someone in the business of having to use biodiesel, perha? https://t.co/yCXCGauAta|||1|@Biodiesel_Media,@EPA,@SecretarySonny,@realDonaldTrump
1028785559282495488|08-12-2018|RT @travis_statham: The 1980 @USDA pyramid has only 11% of their servings as actual meat. And yet the other 89% is nutritionally void and c?|||39|@travis_statham,@USDA
1028784803812757504|08-12-2018|RT @Biodiesel_Media: Biodiesel is helping California reduce carbon emissions to record levels. Tell the @EPA to support homegrown, renewabl?|||232|@Biodiesel_Media,@EPA
1028784040873095168|08-12-2018|RT @travis_statham: The 1980 @USDA pyramid has only 11% of their servings as actual meat. And yet the other 89% is nutritionally void and c?|||39|@travis_statham,@USDA
1028783077290475520|08-12-2018|RT @DehannaMattson: @SecretarySonny @SecretaryZinke @forestservice @POTUS Hi there Sony. X. Love you.. We have a very questionable forest e?|||1|@DehannaMattson,@SecretarySonny,@SecretaryZinke,@forestservice,@POTUS
1028783027457945600|08-12-2018|RT @SecretarySonny: Going to Redding, CA Monday w/@SecretaryZinke, meeting firefighters & local leaders about the #CarrFire. More than 7,00?|#CarrFire||96|@SecretarySonny,@SecretaryZinke
1028782987796570112|08-12-2018|@SecretarySonny @SecretaryZinke @forestservice @POTUS Hi there Sony. X. Love you.. We have a very questionable fore? https://t.co/2EbM8uAL2F|||1|@SecretarySonny,@SecretaryZinke,@forestservice,@POTUS
1028782772603826176|08-12-2018|RT @Biodiesel_Media: America's farmers and soybean growers need certainty in the biofuel market. Join America's advanced biofuel producers?|||168|@Biodiesel_Media
1028781995747418112|08-12-2018|RT @agripulse: .@USDA #trade data for June show that U.S. #soybean sales are already shifting sharply away from #China to the @EuropeanUnio?|#trade,#soybean,#China||1|@agripulse,@USDA
1028781487938777090|08-12-2018|RT @Biodiesel_Media: America's farmers and soybean growers need certainty in the biofuel market. Join America's advanced biofuel producers?|||168|@Biodiesel_Media
1028780922265653248|08-12-2018|.@USDA #trade data for June show that U.S. #soybean sales are already shifting sharply away from #China to the? https://t.co/3kS84tKjHy|#trade,#soybean,#China||1|@USDA
1028778101499678720|08-12-2018|The repentance of Gentiles contrasts with the repeated lack of repentance on the part of Israel. "What more was the? https://t.co/Jzylqzbe0C|||0|
1028777405903724544|08-12-2018|RT @Biodiesel_Media: Biodiesel is helping California reduce carbon emissions to record levels. Tell the @EPA to support homegrown, renewabl?|||232|@Biodiesel_Media,@EPA
1028777390623928321|08-12-2018|@travis_statham @JudithWebbMays @USDA He?s so addicted and doesn?t want to stop. He truly believes he was ?destined? https://t.co/mtqRRFpgKy|||0|@travis_statham,@JudithWebbMays,@USDA
1028776959289913344|08-12-2018|RT @SecretarySonny: Going to Redding, CA Monday w/@SecretaryZinke, meeting firefighters & local leaders about the #CarrFire. More than 7,00?|#CarrFire||96|@SecretarySonny,@SecretaryZinke
1028776866906177537|08-12-2018|RT @Biodiesel_Media: Biodiesel is helping California reduce carbon emissions to record levels. Tell the @EPA to support homegrown, renewabl?|||232|@Biodiesel_Media,@EPA
1028776551020732416|08-12-2018|@travis_statham @JudithWebbMays @USDA I have tried so many times over the years to give him basic info on how the b? https://t.co/Trs4upW73U|||0|@travis_statham,@JudithWebbMays,@USDA
1028775874345279488|08-12-2018|@Raging_Red @JudithWebbMays @USDA We need rehab for him. You can?t goad him into trying Carnivore for 30 days?|||0|@Raging_Red,@JudithWebbMays,@USDA
