UID,tweetId,tweetDate,tweetWord,tweetSentiment
1-07-30-2018,1024082127686709248,07-30-2018,@minnesotaminers,neg
2-07-30-2018,1024082127686709248,07-30-2018,@potus,neg
3-07-30-2018,1024082127686709248,07-30-2018,@secretaryzinke,neg
4-07-30-2018,1024082127686709248,07-30-2018,@secretarysonny,neg
5-07-30-2018,1024082127686709248,07-30-2018,@doidepsec,neg
6-07-30-2018,1024082127686709248,07-30-2018,@doipresssec,neg
7-07-30-2018,1024082127686709248,07-30-2018,@kmbenedetto,neg
8-07-30-2018,1024082127686709248,07-30-2018,@usrepricknolan,neg
9-07-30-2018,1024082127686709248,07-30-2018,@reptomemmer,neg
10-07-30-2018,1024082127686709248,07-30-2018,@repgosar,neg
11-07-30-2018,1024082127686709248,07-30-2018,@re,neg
12-07-30-2018,1024082106325127168,07-30-2018,@minnesotaminers,neg
13-07-30-2018,1024082106325127168,07-30-2018,@potus,neg
14-07-30-2018,1024082106325127168,07-30-2018,@secretarysonny,neg
15-07-30-2018,1024082106325127168,07-30-2018,@epaawheeler,neg
16-07-30-2018,1024082106325127168,07-30-2018,@epa,neg
17-07-30-2018,1024082106325127168,07-30-2018,@usrepricknolan,neg
18-07-30-2018,1024082106325127168,07-30-2018,@reptomemmer,neg
19-07-30-2018,1024082106325127168,07-30-2018,@reptimwalz,neg
20-07-30-2018,1024082106325127168,07-30-2018,@repjasonlewis,neg
21-07-30-2018,1024082106325127168,07-30-2018,@collinpeterson,neg
22-07-30-2018,1024082106325127168,07-30-2018,@amyk,neg
23-07-30-2018,1024082080513372161,07-30-2018,@minnesotaminers,pos
24-07-30-2018,1024082080513372161,07-30-2018,@potus,pos
25-07-30-2018,1024082080513372161,07-30-2018,@secretarysonny,pos
26-07-30-2018,1024082080513372161,07-30-2018,@doidepsec,pos
27-07-30-2018,1024082080513372161,07-30-2018,@doipresssec,pos
28-07-30-2018,1024082080513372161,07-30-2018,@kmbenedetto,pos
29-07-30-2018,1024082080513372161,07-30-2018,@usrepricknolan,pos
30-07-30-2018,1024082080513372161,07-30-2018,@reptomemmer,pos
31-07-30-2018,1024082080513372161,07-30-2018,@repgosar,pos
32-07-30-2018,1024082080513372161,07-30-2018,@repwesterman,pos
33-07-30-2018,1024082080513372161,07-30-2018,@jeff,pos
34-07-30-2018,1024082048384942081,07-30-2018,@minnesotaminers,neg
35-07-30-2018,1024082048384942081,07-30-2018,@potus,neg
36-07-30-2018,1024082048384942081,07-30-2018,@secretaryzinke,neg
37-07-30-2018,1024082048384942081,07-30-2018,@secretarysonny,neg
38-07-30-2018,1024082048384942081,07-30-2018,@doidepsec,neg
39-07-30-2018,1024082048384942081,07-30-2018,@doipresssec,neg
40-07-30-2018,1024082048384942081,07-30-2018,@kmbenedetto,neg
41-07-30-2018,1024082048384942081,07-30-2018,@reptomemmer,neg
42-07-30-2018,1024082048384942081,07-30-2018,@repgosar,neg
43-07-30-2018,1024082048384942081,07-30-2018,@repdonyoung,neg
44-07-30-2018,1024082048384942081,07-30-2018,@repwe,neg
45-07-30-2018,1024082041250488321,07-30-2018,@whostp,pos
46-07-30-2018,1024082041250488321,07-30-2018,today,pos
47-07-30-2018,1024082041250488321,07-30-2018,@whostp,pos
48-07-30-2018,1024082041250488321,07-30-2018,convened,pos
49-07-30-2018,1024082041250488321,07-30-2018,#nstc,pos
50-07-30-2018,1024082041250488321,07-30-2018,committee,pos
51-07-30-2018,1024082041250488321,07-30-2018,stem,pos
52-07-30-2018,1024082041250488321,07-30-2018,discuss,pos
53-07-30-2018,1024082041250488321,07-30-2018,upcoming,pos
54-07-30-2018,1024082041250488321,07-30-2018,federal,pos
55-07-30-2018,1024082041250488321,07-30-2018,5year,pos
56-07-30-2018,1024082041250488321,07-30-2018,stem,pos
57-07-30-2018,1024082041250488321,07-30-2018,education,pos
58-07-30-2018,1024082041250488321,07-30-2018,strategic,pos
59-07-30-2018,1024082041250488321,07-30-2018,plan,pos
60-07-30-2018,1024082041250488321,07-30-2018,co,pos
61-07-30-2018,1024082020706734081,07-30-2018,@minnesotaminers,pos
62-07-30-2018,1024082020706734081,07-30-2018,@potus,pos
63-07-30-2018,1024082020706734081,07-30-2018,@secretaryzinke,pos
64-07-30-2018,1024082020706734081,07-30-2018,@secretarysonny,pos
65-07-30-2018,1024082020706734081,07-30-2018,@doidepsec,pos
66-07-30-2018,1024082020706734081,07-30-2018,@doipresssec,pos
67-07-30-2018,1024082020706734081,07-30-2018,@kmbenedetto,pos
68-07-30-2018,1024082020706734081,07-30-2018,@epaawheeler,pos
69-07-30-2018,1024082020706734081,07-30-2018,@repgosar,pos
70-07-30-2018,1024082020706734081,07-30-2018,@repwesterman,pos
71-07-30-2018,1024082020706734081,07-30-2018,@jeff,pos
72-07-30-2018,1024081890834374656,07-30-2018,@unitedminingal,neg
73-07-30-2018,1024081890834374656,07-30-2018,@secretaryzinke,neg
74-07-30-2018,1024081890834374656,07-30-2018,@secretarysonny,neg
75-07-30-2018,1024081890834374656,07-30-2018,@doidepsec,neg
76-07-30-2018,1024081890834374656,07-30-2018,@doipresssec,neg
77-07-30-2018,1024081890834374656,07-30-2018,@kmbenedetto,neg
78-07-30-2018,1024081890834374656,07-30-2018,@usrepricknolan,neg
79-07-30-2018,1024081890834374656,07-30-2018,@reptomemmer,neg
80-07-30-2018,1024081890834374656,07-30-2018,@repgosar,neg
81-07-30-2018,1024081890834374656,07-30-2018,@repwesterm,neg
82-07-30-2018,1024081840259444738,07-30-2018,@unitedminingal,neg
83-07-30-2018,1024081840259444738,07-30-2018,@potus,neg
84-07-30-2018,1024081840259444738,07-30-2018,@secretaryzinke,neg
85-07-30-2018,1024081840259444738,07-30-2018,@secretarysonny,neg
86-07-30-2018,1024081840259444738,07-30-2018,@usrepricknolan,neg
87-07-30-2018,1024081840259444738,07-30-2018,@reptomemmer,neg
88-07-30-2018,1024081840259444738,07-30-2018,@repjasonlewis,neg
89-07-30-2018,1024081840259444738,07-30-2018,@karinhousley,neg
90-07-30-2018,1024081840259444738,07-30-2018,@newbergerjim,neg
91-07-30-2018,1024081840259444738,07-30-2018,@petesta,neg
92-07-30-2018,1024081816041476096,07-30-2018,@unitedminingal,neg
93-07-30-2018,1024081816041476096,07-30-2018,@potus,neg
94-07-30-2018,1024081816041476096,07-30-2018,@secretaryzinke,neg
95-07-30-2018,1024081816041476096,07-30-2018,@secretarysonny,neg
96-07-30-2018,1024081816041476096,07-30-2018,@doidepsec,neg
97-07-30-2018,1024081816041476096,07-30-2018,@reptomemmer,neg
98-07-30-2018,1024081816041476096,07-30-2018,@repgosar,neg
99-07-30-2018,1024081816041476096,07-30-2018,@repwesterman,neg
100-07-30-2018,1024081816041476096,07-30-2018,@jeffsmalls,neg
101-07-30-2018,1024081816041476096,07-30-2018,@stevedaines,neg
102-07-30-2018,1024081816041476096,07-30-2018,@thielm,neg
103-07-30-2018,1024081787784491008,07-30-2018,@unitedminingal,neg
104-07-30-2018,1024081787784491008,07-30-2018,@potus,neg
105-07-30-2018,1024081787784491008,07-30-2018,@secretaryzinke,neg
106-07-30-2018,1024081787784491008,07-30-2018,@secretarysonny,neg
107-07-30-2018,1024081787784491008,07-30-2018,@doidepsec,neg
108-07-30-2018,1024081787784491008,07-30-2018,@doipresssec,neg
109-07-30-2018,1024081787784491008,07-30-2018,@interior,neg
110-07-30-2018,1024081787784491008,07-30-2018,@forestservice,neg
111-07-30-2018,1024081787784491008,07-30-2018,@usrepricknolan,neg
112-07-30-2018,1024081787784491008,07-30-2018,@reptomemmer,neg
113-07-30-2018,1024081787784491008,07-30-2018,@r,neg
114-07-30-2018,1024081729412325377,07-30-2018,@wefishhm70,neg
115-07-30-2018,1024081729412325377,07-30-2018,@secretaryzinke,neg
116-07-30-2018,1024081729412325377,07-30-2018,@doidepsec,neg
117-07-30-2018,1024081729412325377,07-30-2018,@secretaryross,neg
118-07-30-2018,1024081729412325377,07-30-2018,@secretaryperry,neg
119-07-30-2018,1024081729412325377,07-30-2018,@epaawheeler,neg
120-07-30-2018,1024081729412325377,07-30-2018,@secretarysonny,neg
121-07-30-2018,1024081729412325377,07-30-2018,@secretaryacosta,neg
122-07-30-2018,1024081729412325377,07-30-2018,@donaldjtrump,neg
123-07-30-2018,1024081729412325377,07-30-2018,@amyk,neg
124-07-30-2018,1024081232693534720,07-30-2018,@wefishhm70,neg
125-07-30-2018,1024081232693534720,07-30-2018,@potus,neg
126-07-30-2018,1024081232693534720,07-30-2018,@secretaryzinke,neg
127-07-30-2018,1024081232693534720,07-30-2018,@doidepsec,neg
128-07-30-2018,1024081232693534720,07-30-2018,@secretaryross,neg
129-07-30-2018,1024081232693534720,07-30-2018,@secretaryperry,neg
130-07-30-2018,1024081232693534720,07-30-2018,@epaawheeler,neg
131-07-30-2018,1024081232693534720,07-30-2018,@secretarysonny,neg
132-07-30-2018,1024081232693534720,07-30-2018,@secretaryacosta,neg
133-07-30-2018,1024081232693534720,07-30-2018,@donaldjtrum,neg
134-07-30-2018,1024081188099641345,07-30-2018,@fishmaki,neg
135-07-30-2018,1024081188099641345,07-30-2018,@secretaryzinke,neg
136-07-30-2018,1024081188099641345,07-30-2018,@doidepsec,neg
137-07-30-2018,1024081188099641345,07-30-2018,@secretaryross,neg
138-07-30-2018,1024081188099641345,07-30-2018,@secretaryperry,neg
139-07-30-2018,1024081188099641345,07-30-2018,@epaawheeler,neg
140-07-30-2018,1024081188099641345,07-30-2018,@secretarysonny,neg
141-07-30-2018,1024081188099641345,07-30-2018,@secretaryacosta,neg
142-07-30-2018,1024081188099641345,07-30-2018,@donaldjtrump,neg
143-07-30-2018,1024081188099641345,07-30-2018,@amyklo,neg
144-07-30-2018,1024081119300476933,07-30-2018,@fishmaki,neg
145-07-30-2018,1024081119300476933,07-30-2018,@potus,neg
146-07-30-2018,1024081119300476933,07-30-2018,@doidepsec,neg
147-07-30-2018,1024081119300476933,07-30-2018,@secretaryross,neg
148-07-30-2018,1024081119300476933,07-30-2018,@secretaryperry,neg
149-07-30-2018,1024081119300476933,07-30-2018,@epaawheeler,neg
150-07-30-2018,1024081119300476933,07-30-2018,@secretarysonny,neg
151-07-30-2018,1024081119300476933,07-30-2018,@secretaryacosta,neg
152-07-30-2018,1024081119300476933,07-30-2018,@donaldjtrump,neg
153-07-30-2018,1024081119300476933,07-30-2018,@amyklobuchar,neg
154-07-30-2018,1024081119300476933,07-30-2018,@r,neg
155-07-30-2018,1024081106361036800,07-30-2018,@fishmaki,neg
156-07-30-2018,1024081106361036800,07-30-2018,@repmcclintock,neg
157-07-30-2018,1024081106361036800,07-30-2018,@repdonyoung,neg
158-07-30-2018,1024081106361036800,07-30-2018,@repstevepearce,neg
159-07-30-2018,1024081106361036800,07-30-2018,@raullabrador,neg
160-07-30-2018,1024081106361036800,07-30-2018,@repwesterman,neg
161-07-30-2018,1024081106361036800,07-30-2018,@replahood,neg
162-07-30-2018,1024081106361036800,07-30-2018,@repwebster,neg
163-07-30-2018,1024081106361036800,07-30-2018,@repdavidrouzer,neg
164-07-30-2018,1024081106361036800,07-30-2018,@repjackbergm,neg
165-07-30-2018,1024081044029485057,07-30-2018,@wefishhm70,neg
166-07-30-2018,1024081044029485057,07-30-2018,@potus,neg
167-07-30-2018,1024081044029485057,07-30-2018,@doidepsec,neg
168-07-30-2018,1024081044029485057,07-30-2018,@secretaryross,neg
169-07-30-2018,1024081044029485057,07-30-2018,@secretaryperry,neg
170-07-30-2018,1024081044029485057,07-30-2018,@epaawheeler,neg
171-07-30-2018,1024081044029485057,07-30-2018,@secretarysonny,neg
172-07-30-2018,1024081044029485057,07-30-2018,@secretaryacosta,neg
173-07-30-2018,1024081044029485057,07-30-2018,@donaldjtrump,neg
174-07-30-2018,1024081044029485057,07-30-2018,@amyklobuchar,neg
175-07-30-2018,1024081035280232451,07-30-2018,@wefishhm70,neg
176-07-30-2018,1024081035280232451,07-30-2018,@repgosar,neg
177-07-30-2018,1024081035280232451,07-30-2018,@replouiegohmert,neg
178-07-30-2018,1024081035280232451,07-30-2018,@repdlamborn,neg
179-07-30-2018,1024081035280232451,07-30-2018,@robwittman,neg
180-07-30-2018,1024081035280232451,07-30-2018,@repstevepearce,neg
181-07-30-2018,1024081035280232451,07-30-2018,@replizcheney,neg
182-07-30-2018,1024081035280232451,07-30-2018,@reprobbishop,neg
183-07-30-2018,1024081035280232451,07-30-2018,@repgarretgraves,neg
184-07-30-2018,1024081035280232451,07-30-2018,@repwester,neg
185-07-30-2018,1024080828374999042,07-30-2018,@kitfreedom,neg
186-07-30-2018,1024080828374999042,07-30-2018,@usda,neg
187-07-30-2018,1024080828374999042,07-30-2018,department,neg
188-07-30-2018,1024080828374999042,07-30-2018,agriculture,neg
189-07-30-2018,1024080828374999042,07-30-2018,lost,neg
190-07-30-2018,1024080828374999042,07-30-2018,,neg
191-07-30-2018,1024080828374999042,07-30-2018,dont,neg
192-07-30-2018,1024080828374999042,07-30-2018,know,neg
193-07-30-2018,1024080828374999042,07-30-2018,,neg
194-07-30-2018,1024080753355878400,07-30-2018,@westerncaucus,neg
195-07-30-2018,1024080753355878400,07-30-2018,@rangereporter,neg
196-07-30-2018,1024080753355878400,07-30-2018,@reptomemmer,neg
197-07-30-2018,1024080753355878400,07-30-2018,@usrepricknolan,neg
198-07-30-2018,1024080753355878400,07-30-2018,@repgosar,neg
199-07-30-2018,1024080753355878400,07-30-2018,@repwesterman,neg
200-07-30-2018,1024080753355878400,07-30-2018,@natresources,neg
201-07-30-2018,1024080753355878400,07-30-2018,@secretarysonny,neg
202-07-30-2018,1024080753355878400,07-30-2018,httpstcobxbar0fzrz,neg
203-07-30-2018,1024080453882531845,07-30-2018,@repjenniffer,pos
204-07-30-2018,1024080453882531845,07-30-2018,conversando,pos
205-07-30-2018,1024080453882531845,07-30-2018,en,pos
206-07-30-2018,1024080453882531845,07-30-2018,@fortalezapr,pos
207-07-30-2018,1024080453882531845,07-30-2018,con,pos
208-07-30-2018,1024080453882531845,07-30-2018,el,pos
209-07-30-2018,1024080453882531845,07-30-2018,secretario,pos
210-07-30-2018,1024080453882531845,07-30-2018,de,pos
211-07-30-2018,1024080453882531845,07-30-2018,@usda,pos
212-07-30-2018,1024080453882531845,07-30-2018,@secretarysonny,pos
213-07-30-2018,1024080453882531845,07-30-2018,junto,pos
214-07-30-2018,1024080453882531845,07-30-2018,@ricardorossello,pos
215-07-30-2018,1024080453882531845,07-30-2018,@beatrizrossello,pos
216-07-30-2018,1024080453882531845,07-30-2018,@secdagr,pos
217-07-30-2018,1024080158611988481,07-30-2018,@secretaryzinke,neg
218-07-30-2018,1024080158611988481,07-30-2018,@doidepsec,neg
219-07-30-2018,1024080158611988481,07-30-2018,@secretaryross,neg
220-07-30-2018,1024080158611988481,07-30-2018,@secretaryperry,neg
221-07-30-2018,1024080158611988481,07-30-2018,@secretarysonny,neg
222-07-30-2018,1024080158611988481,07-30-2018,@secretaryacosta,neg
223-07-30-2018,1024080158611988481,07-30-2018,@donaldjtrump,neg
224-07-30-2018,1024080158611988481,07-30-2018,httpstco32at1gfv1g,neg
225-07-30-2018,1024080099098931200,07-30-2018,@patriciahammes2,neg
226-07-30-2018,1024080099098931200,07-30-2018,@secretarysonny,neg
227-07-30-2018,1024080099098931200,07-30-2018,need,neg
228-07-30-2018,1024080099098931200,07-30-2018,finish,neg
229-07-30-2018,1024080099098931200,07-30-2018,environmental,neg
230-07-30-2018,1024080099098931200,07-30-2018,assessment,neg
231-07-30-2018,1024080099098931200,07-30-2018,@superiornf,neg
232-07-30-2018,1024080099098931200,07-30-2018,,neg
233-07-30-2018,1024080099098931200,07-30-2018,study,neg
234-07-30-2018,1024080099098931200,07-30-2018,completed,neg
235-07-30-2018,1024080040563277824,07-30-2018,@wefishhm70,neg
236-07-30-2018,1024080040563277824,07-30-2018,@repgosar,neg
237-07-30-2018,1024080040563277824,07-30-2018,@replouiegohmert,neg
238-07-30-2018,1024080040563277824,07-30-2018,@repdlamborn,neg
239-07-30-2018,1024080040563277824,07-30-2018,@robwittman,neg
240-07-30-2018,1024080040563277824,07-30-2018,@repstevepearce,neg
241-07-30-2018,1024080040563277824,07-30-2018,@replizcheney,neg
242-07-30-2018,1024080040563277824,07-30-2018,@reprobbishop,neg
243-07-30-2018,1024080040563277824,07-30-2018,@repgarretgraves,neg
244-07-30-2018,1024080040563277824,07-30-2018,@reppaulco,neg
245-07-30-2018,1024080036968755201,07-30-2018,@patriciahammes2,neg
246-07-30-2018,1024080036968755201,07-30-2018,@secretarysonny,neg
247-07-30-2018,1024080036968755201,07-30-2018,need,neg
248-07-30-2018,1024080036968755201,07-30-2018,finish,neg
249-07-30-2018,1024080036968755201,07-30-2018,environmental,neg
250-07-30-2018,1024080036968755201,07-30-2018,assessment,neg
251-07-30-2018,1024080036968755201,07-30-2018,@superiornf,neg
252-07-30-2018,1024080036968755201,07-30-2018,,neg
253-07-30-2018,1024080036968755201,07-30-2018,study,neg
254-07-30-2018,1024080036968755201,07-30-2018,completed,neg
255-07-30-2018,1024079741521940483,07-30-2018,@patriciahammes2,neg
256-07-30-2018,1024079741521940483,07-30-2018,@secretarysonny,neg
257-07-30-2018,1024079741521940483,07-30-2018,need,neg
258-07-30-2018,1024079741521940483,07-30-2018,finish,neg
259-07-30-2018,1024079741521940483,07-30-2018,environmental,neg
260-07-30-2018,1024079741521940483,07-30-2018,assessment,neg
