tweetId,tweetDate,tweetWord,tweetSentiment
1234567890,06-28-2018,US,neg
1234567890,06-28-2018,test,neg
1234567890,06-28-2018,test,neg
1234567890,06-28-2018,US,neg
1012349221348036611,06-28-2018,@fishmaki,neg
1012349221348036611,06-28-2018,@secretaryzinke,neg
1012349221348036611,06-28-2018,@doidepsec,neg
1012349221348036611,06-28-2018,@secretaryross,neg
1012349221348036611,06-28-2018,@secretaryperry,neg
1012349221348036611,06-28-2018,@epascottpruitt,neg
1012349221348036611,06-28-2018,@secretarysonny,neg
1012349221348036611,06-28-2018,@secretaryacosta,neg
1012349221348036611,06-28-2018,@donaldjtrump,neg
1012349221348036611,06-28-2018,@amy,neg
1012349088199823360,06-28-2018,@fishmaki,neg
1012349088199823360,06-28-2018,@secretaryzinke,neg
1012349088199823360,06-28-2018,@doidepsec,neg
1012349088199823360,06-28-2018,@secretaryross,neg
1012349088199823360,06-28-2018,@secretaryperry,neg
1012349088199823360,06-28-2018,@epascottpruitt,neg
1012349088199823360,06-28-2018,@secretarysonny,neg
1012349088199823360,06-28-2018,@secretaryacosta,neg
1012349088199823360,06-28-2018,@donaldjtrump,neg
1012349088199823360,06-28-2018,@amy,neg
1012349074111193088,06-28-2018,@fishmaki,neg
1012349074111193088,06-28-2018,@secretaryzinke,neg
1012349074111193088,06-28-2018,@doidepsec,neg
1012349074111193088,06-28-2018,@secretaryross,neg
1012349074111193088,06-28-2018,@secretaryperry,neg
1012349074111193088,06-28-2018,@epascottpruitt,neg
1012349074111193088,06-28-2018,@secretarysonny,neg
1012349074111193088,06-28-2018,@secretaryacosta,neg
1012349074111193088,06-28-2018,@amyklobuchar,neg
1012349074111193088,06-28-2018,@rep,neg
1012348665258790912,06-28-2018,jessica,pos
1012348665258790912,06-28-2018,garrels,pos
1012348665258790912,06-28-2018,chief,pos
1012348665258790912,06-28-2018,party,pos
1012348665258790912,06-28-2018,@usda,pos
1012348665258790912,06-28-2018,mcgoverndole,pos
1012348665258790912,06-28-2018,food,pos
1012348665258790912,06-28-2018,education,pos
1012348665258790912,06-28-2018,laos,pos
1012348665258790912,06-28-2018,sharing,pos
1012348665258790912,06-28-2018,importance,pos
1012348665258790912,06-28-2018,ensuri,pos
1012348665258790912,06-28-2018,httpstcofnhhbfwekg,pos
1012348656207396865,06-28-2018,@wefishhm70,neg
1012348656207396865,06-28-2018,@secretaryzinke,neg
1012348656207396865,06-28-2018,@doidepsec,neg
1012348656207396865,06-28-2018,@secretaryross,neg
1012348656207396865,06-28-2018,@secretaryperry,neg
1012348656207396865,06-28-2018,@epascottpruitt,neg
1012348656207396865,06-28-2018,@secretarysonny,neg
1012348656207396865,06-28-2018,@secretaryacosta,neg
1012348656207396865,06-28-2018,@donaldjtrump,neg
1012348656207396865,06-28-2018,@a,neg
1012348600641351681,06-28-2018,@wefishhm70,neg
1012348600641351681,06-28-2018,@senorrinhatch,neg
1012348600641351681,06-28-2018,@senjohnbarrasso,neg
1012348600641351681,06-28-2018,@senjohnhoeven,neg
1012348600641351681,06-28-2018,@senmikelee,neg
1012348600641351681,06-28-2018,@stevedaines,neg
1012348600641351681,06-28-2018,@lisamurkowski,neg
1012348600641351681,06-28-2018,@senatorenzi,neg
1012348600641351681,06-28-2018,@secretaryzinke,neg
1012348600641351681,06-28-2018,@doidep,neg
1012348549324005376,06-28-2018,@secretarysonny,neg
1012348549324005376,06-28-2018,appeared,neg
1012348549324005376,06-28-2018,@squawkcnbc,neg
1012348549324005376,06-28-2018,morning,neg
1012348549324005376,06-28-2018,laying,neg
1012348549324005376,06-28-2018,@potus,neg
1012348549324005376,06-28-2018,held,neg
1012348549324005376,06-28-2018,china,neg
1012348549324005376,06-28-2018,accountable,neg
1012348549324005376,06-28-2018,unfair,neg
1012348549324005376,06-28-2018,trade,neg
1012348549324005376,06-28-2018,practices,neg
1012348525814874114,06-28-2018,@usdanutrition,neg
1012348525814874114,06-28-2018,childrens,neg
1012348525814874114,06-28-2018,nutritional,neg
