UID,tweetId,tweetDate,tweetWord,tweetSentiment
1-08-14-2018,1029517642988703744,08-14-2018,@aspca,neg
2-08-14-2018,1029517642988703744,08-14-2018,tell,neg
3-08-14-2018,1029517642988703744,08-14-2018,@usda,neg
4-08-14-2018,1029517642988703744,08-14-2018,abandon,neg
5-08-14-2018,1029517642988703744,08-14-2018,proposal,neg
6-08-14-2018,1029517642988703744,08-14-2018,increase,neg
7-08-14-2018,1029517642988703744,08-14-2018,cruelty,neg
8-08-14-2018,1029517642988703744,08-14-2018,pig,neg
9-08-14-2018,1029517642988703744,08-14-2018,slaughterhouses,neg
10-08-14-2018,1029517642988703744,08-14-2018,sign,neg
11-08-14-2018,1029517642988703744,08-14-2018,petition,neg
12-08-14-2018,1029517642988703744,08-14-2018,httpstconuayb3bffm,neg
13-08-14-2018,1029517597656530945,08-14-2018,@secretarysonny,pos
14-08-14-2018,1029517597656530945,08-14-2018,freeflowing,pos
15-08-14-2018,1029517597656530945,08-14-2018,conversations,pos
16-08-14-2018,1029517597656530945,08-14-2018,california,pos
17-08-14-2018,1029517597656530945,08-14-2018,producers,pos
18-08-14-2018,1029517597656530945,08-14-2018,joseph,pos
19-08-14-2018,1029517597656530945,08-14-2018,gallo,pos
20-08-14-2018,1029517597656530945,08-14-2018,farms,pos
21-08-14-2018,1029517597656530945,08-14-2018,atwater,pos
22-08-14-2018,1029517597656530945,08-14-2018,able,pos
23-08-14-2018,1029517597656530945,08-14-2018,catch,pos
24-08-14-2018,1029517597656530945,08-14-2018,quick,pos
25-08-14-2018,1029517597656530945,08-14-2018,tour,pos
26-08-14-2018,1029517580132741121,08-14-2018,@secretarysonny,pos
27-08-14-2018,1029517580132741121,08-14-2018,wellattended,pos
28-08-14-2018,1029517580132741121,08-14-2018,town,pos
29-08-14-2018,1029517580132741121,08-14-2018,hall,pos
30-08-14-2018,1029517580132741121,08-14-2018,event,pos
31-08-14-2018,1029517580132741121,08-14-2018,modesto,pos
32-08-14-2018,1029517580132741121,08-14-2018,@repjeffdenham,pos
33-08-14-2018,1029517580132741121,08-14-2018,heard,pos
34-08-14-2018,1029517580132741121,08-14-2018,folks,pos
35-08-14-2018,1029517580132741121,08-14-2018,variety,pos
36-08-14-2018,1029517580132741121,08-14-2018,topics,pos
37-08-14-2018,1029517580132741121,08-14-2018,state,pos
38-08-14-2018,1029517580132741121,08-14-2018,water,pos
39-08-14-2018,1029517580132741121,08-14-2018,issu,pos
40-08-14-2018,1029517569357533184,08-14-2018,@secretarysonny,pos
41-08-14-2018,1029517569357533184,08-14-2018,continuing,pos
42-08-14-2018,1029517569357533184,08-14-2018,california,pos
43-08-14-2018,1029517569357533184,08-14-2018,trip,pos
44-08-14-2018,1029517569357533184,08-14-2018,wvisit,pos
45-08-14-2018,1029517569357533184,08-14-2018,modesto,pos
46-08-14-2018,1029517569357533184,08-14-2018,farm,pos
47-08-14-2018,1029517569357533184,08-14-2018,paul,pos
48-08-14-2018,1029517569357533184,08-14-2018,wenger,pos
49-08-14-2018,1029517569357533184,08-14-2018,3rd,pos
50-08-14-2018,1029517569357533184,08-14-2018,generation,pos
51-08-14-2018,1029517569357533184,08-14-2018,farmer,pos
52-08-14-2018,1029517569357533184,08-14-2018,,pos
53-08-14-2018,1029517569357533184,08-14-2018,past,pos
54-08-14-2018,1029517569357533184,08-14-2018,president,pos
55-08-14-2018,1029517569357533184,08-14-2018,@cafar,pos
56-08-14-2018,1029516741326471168,08-14-2018,@usdanrcs,neg
57-08-14-2018,1029516741326471168,08-14-2018,#dyk,neg
58-08-14-2018,1029516741326471168,08-14-2018,microbes,neg
59-08-14-2018,1029516741326471168,08-14-2018,teaspoon,neg
60-08-14-2018,1029516741326471168,08-14-2018,healthy,neg
61-08-14-2018,1029516741326471168,08-14-2018,soil,neg
62-08-14-2018,1029516741326471168,08-14-2018,people,neg
63-08-14-2018,1029516741326471168,08-14-2018,earth,neg
64-08-14-2018,1029516741326471168,08-14-2018,httpstcopehianqedr,neg
65-08-14-2018,1029516741326471168,08-14-2018,#soilheal,neg
66-08-14-2018,1029516715154186240,08-14-2018,@aspca,neg
67-08-14-2018,1029516715154186240,08-14-2018,tell,neg
68-08-14-2018,1029516715154186240,08-14-2018,@usda,neg
