UID,tweetId,tweetDate,tweetWord,tweetSentiment
1-08-13-2018,1029155620010614784,08-13-2018,@biodieselmedia,neg
2-08-13-2018,1029155620010614784,08-13-2018,@epa,neg
3-08-13-2018,1029155620010614784,08-13-2018,@secretarysonny,neg
4-08-13-2018,1029155620010614784,08-13-2018,@realdonaldtrump,neg
5-08-13-2018,1029155620010614784,08-13-2018,#fckdonaldtrump,neg
6-08-13-2018,1029155530898518016,08-13-2018,@biodieselmedia,pos
7-08-13-2018,1029155530898518016,08-13-2018,@epa,pos
8-08-13-2018,1029155530898518016,08-13-2018,@secretarysonny,pos
9-08-13-2018,1029155530898518016,08-13-2018,@realdonaldtrump,pos
10-08-13-2018,1029155530898518016,08-13-2018,tell,pos
11-08-13-2018,1029155530898518016,08-13-2018,national,pos
12-08-13-2018,1029155530898518016,08-13-2018,biodiesel,pos
13-08-13-2018,1029155530898518016,08-13-2018,board,pos
14-08-13-2018,1029155530898518016,08-13-2018,support,pos
15-08-13-2018,1029155530898518016,08-13-2018,local,pos
16-08-13-2018,1029155530898518016,08-13-2018,homegrow,pos
17-08-13-2018,1029155530898518016,08-13-2018,httpstcoxlfb3dhygj,pos
18-08-13-2018,1029155208339841030,08-13-2018,@r5firenews,pos
19-08-13-2018,1029155208339841030,08-13-2018,fire,pos
20-08-13-2018,1029155208339841030,08-13-2018,aviation,pos
21-08-13-2018,1029155208339841030,08-13-2018,director,pos
22-08-13-2018,1029155208339841030,08-13-2018,@forestservice,pos
23-08-13-2018,1029155208339841030,08-13-2018,legarza,pos
24-08-13-2018,1029155208339841030,08-13-2018,@calfirechief,pos
25-08-13-2018,1029155208339841030,08-13-2018,pimlott,pos
26-08-13-2018,1029155208339841030,08-13-2018,chat,pos
27-08-13-2018,1029155208339841030,08-13-2018,@secretarysonny,pos
28-08-13-2018,1029155208339841030,08-13-2018,st,pos
29-08-13-2018,1029154994224803846,08-13-2018,@aspca,neg
30-08-13-2018,1029154994224803846,08-13-2018,act,neg
31-08-13-2018,1029154994224803846,08-13-2018,now,neg
32-08-13-2018,1029154994224803846,08-13-2018,@usdas,neg
33-08-13-2018,1029154994224803846,08-13-2018,new,neg
34-08-13-2018,1029154994224803846,08-13-2018,rule,neg
35-08-13-2018,1029154994224803846,08-13-2018,will,neg
36-08-13-2018,1029154994224803846,08-13-2018,allow,neg
37-08-13-2018,1029154994224803846,08-13-2018,pig,neg
38-08-13-2018,1029154994224803846,08-13-2018,slaughterhouses,neg
39-08-13-2018,1029154994224803846,08-13-2018,nationwide,neg
40-08-13-2018,1029154994224803846,08-13-2018,operate,neg
41-08-13-2018,1029154994224803846,08-13-2018,without,neg
42-08-13-2018,1029154994224803846,08-13-2018,speed,neg
43-08-13-2018,1029154994224803846,08-13-2018,limits,neg
44-08-13-2018,1029154994224803846,08-13-2018,sign,neg
45-08-13-2018,1029154994224803846,08-13-2018,petition,neg
