UID,tweetId,tweetDate,tweetWord,tweetSentiment
1-08-16-2018,1030242666364035072,08-16-2018,@repjeffdenham,pos
2-08-16-2018,1030242666364035072,08-16-2018,@secretarysonny,pos
3-08-16-2018,1030242666364035072,08-16-2018,sanfranman,pos
4-08-16-2018,1030242666364035072,08-16-2018,aka,pos
5-08-16-2018,1030242666364035072,08-16-2018,josh,pos
6-08-16-2018,1030242666364035072,08-16-2018,harder,pos
7-08-16-2018,1030242666364035072,08-16-2018,wants,pos
8-08-16-2018,1030242666364035072,08-16-2018,ag,pos
9-08-16-2018,1030242666364035072,08-16-2018,h2o,pos
10-08-16-2018,1030242666364035072,08-16-2018,flushed,pos
11-08-16-2018,1030242666364035072,08-16-2018,ocean,pos
12-08-16-2018,1030242666364035072,08-16-2018,harder,pos
13-08-16-2018,1030242666364035072,08-16-2018,doesnt,pos
14-08-16-2018,1030242666364035072,08-16-2018,understa,pos
15-08-16-2018,1030242666364035072,08-16-2018,httpstcoc5alyduujb,pos
16-08-16-2018,1030242539134246912,08-16-2018,@usdanutrition,pos
17-08-16-2018,1030242539134246912,08-16-2018,@usda,pos
18-08-16-2018,1030242539134246912,08-16-2018,summer,pos
19-08-16-2018,1030242539134246912,08-16-2018,meal,pos
20-08-16-2018,1030242539134246912,08-16-2018,programs,pos
21-08-16-2018,1030242539134246912,08-16-2018,fill,pos
22-08-16-2018,1030242539134246912,08-16-2018,#nutrition,pos
23-08-16-2018,1030242539134246912,08-16-2018,gap,pos
24-08-16-2018,1030242539134246912,08-16-2018,lowincome,pos
25-08-16-2018,1030242539134246912,08-16-2018,children,pos
26-08-16-2018,1030242539134246912,08-16-2018,rely,pos
27-08-16-2018,1030242539134246912,08-16-2018,national,pos
28-08-16-2018,1030242539134246912,08-16-2018,#schoollunch,pos
29-08-16-2018,1030242539134246912,08-16-2018,,pos
30-08-16-2018,1030242129329745925,08-16-2018,@potus,neg
31-08-16-2018,1030242129329745925,08-16-2018,@secretaryzinke,neg
32-08-16-2018,1030242129329745925,08-16-2018,@secretarysonny,neg
33-08-16-2018,1030242129329745925,08-16-2018,@doidepsec,neg
34-08-16-2018,1030242129329745925,08-16-2018,@doipresssec,neg
35-08-16-2018,1030242129329745925,08-16-2018,@kmbenedetto,neg
36-08-16-2018,1030242129329745925,08-16-2018,@usrepricknolan,neg
37-08-16-2018,1030242129329745925,08-16-2018,@reptomemmer,neg
38-08-16-2018,1030242129329745925,08-16-2018,httpstcojbsdpsrrof,neg
39-08-16-2018,1030242111457775617,08-16-2018,@usda,neg
40-08-16-2018,1030242111457775617,08-16-2018,@forestservice,neg
41-08-16-2018,1030242111457775617,08-16-2018,nice,neg
42-08-16-2018,1030242111457775617,08-16-2018,publication,neg
43-08-16-2018,1030242111457775617,08-16-2018,need,neg
44-08-16-2018,1030242111457775617,08-16-2018,much,neg
45-08-16-2018,1030242111457775617,08-16-2018,cooperation,neg
46-08-16-2018,1030242111457775617,08-16-2018,expertise,neg
47-08-16-2018,1030242111457775617,08-16-2018,field,neg
48-08-16-2018,1030242111457775617,08-16-2018,controlled,neg
49-08-16-2018,1030242111457775617,08-16-2018,burns,neg
50-08-16-2018,1030242111457775617,08-16-2018,work,neg
51-08-16-2018,1030242111457775617,08-16-2018,proactive,neg
52-08-16-2018,1030241983954968576,08-16-2018,@secretarysonny,pos
53-08-16-2018,1030241983954968576,08-16-2018,today,pos
54-08-16-2018,1030241983954968576,08-16-2018,released,pos
55-08-16-2018,1030241983954968576,08-16-2018,new,pos
56-08-16-2018,1030241983954968576,08-16-2018,@forestservice,pos
57-08-16-2018,1030241983954968576,08-16-2018,strategy,pos
