UID,tweetId,tweetDate,tweetWord,tweetSentiment
1-07-31-2018,1024444209808506880,07-31-2018,@drnagpr,pos
2-07-31-2018,1024444209808506880,07-31-2018,la,pos
3-07-31-2018,1024444209808506880,07-31-2018,secretaria,pos
4-07-31-2018,1024444209808506880,07-31-2018,de,pos
5-07-31-2018,1024444209808506880,07-31-2018,recursos,pos
6-07-31-2018,1024444209808506880,07-31-2018,naturales,pos
7-07-31-2018,1024444209808506880,07-31-2018,el,pos
8-07-31-2018,1024444209808506880,07-31-2018,secretario,pos
9-07-31-2018,1024444209808506880,07-31-2018,de,pos
10-07-31-2018,1024444209808506880,07-31-2018,@usda,pos
11-07-31-2018,1024444209808506880,07-31-2018,y,pos
12-07-31-2018,1024444209808506880,07-31-2018,la,pos
13-07-31-2018,1024444209808506880,07-31-2018,comisionada,pos
14-07-31-2018,1024444209808506880,07-31-2018,residente,pos
15-07-31-2018,1024444209808506880,07-31-2018,@repjenniffer,pos
16-07-31-2018,1024444209808506880,07-31-2018,visitaron,pos
17-07-31-2018,1024444209808506880,07-31-2018,hoy,pos
18-07-31-2018,1024444209808506880,07-31-2018,varias,pos
19-07-31-2018,1024444209808506880,07-31-2018,zona,pos
20-07-31-2018,1024443469350293506,07-31-2018,@bigfatsurprise,neg
21-07-31-2018,1024443469350293506,07-31-2018,oped,neg
22-07-31-2018,1024443469350293506,07-31-2018,going,neg
23-07-31-2018,1024443469350293506,07-31-2018,strong,neg
24-07-31-2018,1024443469350293506,07-31-2018,latest,neg
25-07-31-2018,1024443469350293506,07-31-2018,publish,neg
26-07-31-2018,1024443469350293506,07-31-2018,@houstonchron,neg
27-07-31-2018,1024443469350293506,07-31-2018,i,neg
28-07-31-2018,1024443469350293506,07-31-2018,guess,neg
29-07-31-2018,1024443469350293506,07-31-2018,rigorous,neg
30-07-31-2018,1024443469350293506,07-31-2018,trial,neg
31-07-31-2018,1024443469350293506,07-31-2018,60,neg
32-07-31-2018,1024443469350293506,07-31-2018,reversal,neg
33-07-31-2018,1024443469350293506,07-31-2018,t2,neg
34-07-31-2018,1024443469350293506,07-31-2018,diabetes,neg
35-07-31-2018,1024443429894414336,07-31-2018,@secretarysonny,neg
36-07-31-2018,1024443429894414336,07-31-2018,toured,neg
37-07-31-2018,1024443429894414336,07-31-2018,diverse,neg
38-07-31-2018,1024443429894414336,07-31-2018,poultry,neg
39-07-31-2018,1024443429894414336,07-31-2018,facility,neg
40-07-31-2018,1024443429894414336,07-31-2018,raise,neg
41-07-31-2018,1024443429894414336,07-31-2018,hens,neg
42-07-31-2018,1024443429894414336,07-31-2018,produce,neg
43-07-31-2018,1024443429894414336,07-31-2018,eggs,neg
44-07-31-2018,1024443429894414336,07-31-2018,make,neg
45-07-31-2018,1024443429894414336,07-31-2018,fertilizer,neg
46-07-31-2018,1024443429894414336,07-31-2018,waste,neg
47-07-31-2018,1024443429894414336,07-31-2018,famil,neg
48-07-31-2018,1024443190009622528,07-31-2018,@farmpolicy,neg
49-07-31-2018,1024443190009622528,07-31-2018,1,neg
50-07-31-2018,1024443190009622528,07-31-2018,heres,neg
51-07-31-2018,1024443190009622528,07-31-2018,america,neg
52-07-31-2018,1024443190009622528,07-31-2018,uses,neg
53-07-31-2018,1024443190009622528,07-31-2018,land,neg
54-07-31-2018,1024443190009622528,07-31-2018,httpstcouhgpkvd7qn,neg
55-07-31-2018,1024443190009622528,07-31-2018,,neg
56-07-31-2018,1024443190009622528,07-31-2018,using,neg
57-07-31-2018,1024443190009622528,07-31-2018,surveys,neg
58-07-31-2018,1024443190009622528,07-31-2018,satellite,neg
59-07-31-2018,1024443190009622528,07-31-2018,images,neg
60-07-31-2018,1024443190009622528,07-31-2018,categorizations,neg
61-07-31-2018,1024442868625223680,07-31-2018,joe,pos
62-07-31-2018,1024442868625223680,07-31-2018,glauber,pos
