UID,tweetId,tweetDate,tweetWord,tweetSentiment
1-08-09-2018,1027705442527408128,08-09-2018,@biodieselmedia,neg
2-08-09-2018,1027705442527408128,08-09-2018,biodiesel,neg
3-08-09-2018,1027705442527408128,08-09-2018,helping,neg
4-08-09-2018,1027705442527408128,08-09-2018,california,neg
5-08-09-2018,1027705442527408128,08-09-2018,reduce,neg
6-08-09-2018,1027705442527408128,08-09-2018,carbon,neg
7-08-09-2018,1027705442527408128,08-09-2018,emissions,neg
8-08-09-2018,1027705442527408128,08-09-2018,record,neg
9-08-09-2018,1027705442527408128,08-09-2018,levels,neg
10-08-09-2018,1027705442527408128,08-09-2018,tell,neg
11-08-09-2018,1027705442527408128,08-09-2018,@epa,neg
12-08-09-2018,1027705442527408128,08-09-2018,support,neg
13-08-09-2018,1027705442527408128,08-09-2018,homegrown,neg
14-08-09-2018,1027705442527408128,08-09-2018,renewabl,neg
15-08-09-2018,1027705434956804096,08-09-2018,@secretaryzinke,pos
16-08-09-2018,1027705434956804096,08-09-2018,@secretarysonny,pos
17-08-09-2018,1027705434956804096,08-09-2018,i,pos
18-08-09-2018,1027705434956804096,08-09-2018,will,pos
19-08-09-2018,1027705434956804096,08-09-2018,head,pos
20-08-09-2018,1027705434956804096,08-09-2018,redding,pos
21-08-09-2018,1027705434956804096,08-09-2018,#california,pos
22-08-09-2018,1027705434956804096,08-09-2018,monday,pos
23-08-09-2018,1027705434956804096,08-09-2018,meet,pos
24-08-09-2018,1027705434956804096,08-09-2018,local,pos
25-08-09-2018,1027705434956804096,08-09-2018,officials,pos
26-08-09-2018,1027705434956804096,08-09-2018,firefighters,pos
27-08-09-2018,1027705434956804096,08-09-2018,battlin,pos
28-08-09-2018,1027705288240062465,08-09-2018,@secretarysonny,neg
29-08-09-2018,1027705288240062465,08-09-2018,@usda,neg
30-08-09-2018,1027705288240062465,08-09-2018,@usdaers,neg
31-08-09-2018,1027705288240062465,08-09-2018,@usdanifa,neg
32-08-09-2018,1027705288240062465,08-09-2018,also,neg
33-08-09-2018,1027705288240062465,08-09-2018,realigning,neg
34-08-09-2018,1027705288240062465,08-09-2018,@usdaers,neg
35-08-09-2018,1027705288240062465,08-09-2018,@usda,neg
36-08-09-2018,1027705288240062465,08-09-2018,chief,neg
37-08-09-2018,1027705288240062465,08-09-2018,economists,neg
38-08-09-2018,1027705288240062465,08-09-2018,office,neg
39-08-09-2018,1027705288240062465,08-09-2018,office,neg
40-08-09-2018,1027705288240062465,08-09-2018,secre,neg
