tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,userMentions_userName,tweetSentiment
1027705442527408128,08-09-2018,"RT @Biodiesel_Media: Biodiesel is helping California reduce carbon emissions to record levels. Tell the @EPA to support homegrown, renewabl?",,,78.0,"@Biodiesel_Media,@EPA",neg
1027705434956804096,08-09-2018,RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?,#California,,157.0,"@SecretaryZinke,@SecretarySonny",pos
1027705288240062465,08-09-2018,"RT @SecretarySonny: @USDA @USDA_ERS @USDA_NIFA Also realigning @USDA_ERS with the @USDA Chief Economist's office, under Office of the Secre?",,,18.0,"@SecretarySonny,@USDA,@USDA_ERS,@USDA_NIFA,@USDA_ERS,@USDA",neg
1027704987336491008,08-09-2018,"RT @SecretarySonny: To put @USDA folks closer to customers we serve & land grants, we're moving @USDA_ERS & @USDA_NIFA outside of D.C. area?",,,50.0,"@SecretarySonny,@USDA,@USDA_ERS,@USDA_NIFA",pos
1027703685210460160,08-09-2018,RT @GFPJoy: ?@fresnostatechem? ?@CSMfresno? ?and @USDA? Parlier partnership with a productive and inspirational group of high school mentee?,,,3.0,"@GFPJoy,@fresnostatechem,@CSMfresno,@USDA",neg
1027702400935755776,08-09-2018,@SecretarySonny @USDA @USDA_ERS @USDA_NIFA Stay out of Colorado please.  Salt Lake is better,,,0.0,"@SecretarySonny,@USDA,@USDA_ERS,@USDA_NIFA",pos
1027702231934496768,08-09-2018,RT @TKO_RS_One: @DEAHQ @CIA @US_FDA @WhiteHouse @USDA @USDAFoodSafety @AmerMedicalAssn @KPShare @SenSanders @HHSGov @CDCgov #cannabis #Cann?,#cannabis,,1.0,"@TKO_RS_One,@DEAHQ,@CIA,@US_FDA,@WhiteHouse,@USDA,@USDAFoodSafety,@AmerMedicalAssn,@KPShare,@SenSanders,@HHSGov,@CDCgov",neg
1027702138342989824,08-09-2018,RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?,#California,,157.0,"@SecretaryZinke,@SecretarySonny",pos
1027701148428292096,08-09-2018,RT @SecretaryZinke: .@SecretarySonny and I will head to Redding #California on Monday to meet with local officials and firefighters battlin?,#California,,157.0,"@SecretaryZinke,@SecretarySonny",pos
1027701148122144768,08-09-2018,"RDML Yancy Lindsey, Commander Navy Region Southwest, speaks about veteran transition with JC Sherman, @USDA State o? https://t.co/ZUz91nDuwN",,,0.0,@USDA,neg
1027701088315756545,08-09-2018,"RT @hiringourheroes: Today's Perspectives on Transition Panel includes reps from @USDOL, @USDA, @GenAtomics_ASI, and #milspouse @AMBRabe. #?",#milspouse,,1.0,"@hiringourheroes,@USDOL,@USDA,@GenAtomics_ASI,@AMBRabe",pos
