tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,userMentions_userName,tweetSentiment
1024431783155298306,07-31-2018,"RT @RD_Missouri: With over $4 billion available for #water and #wastewater infrastructure projects,@USDA is pursuing an ambitious agenda to?","#water,#wastewater",,5.0,"@RD_Missouri,@USDA",pos
1024430992625491968,07-31-2018,"RT @connectmichigan: WASHINGTON, D.C -- The @USDA  is developing a pilot program to catalyze private investment and bring broadband to unse?",,,2.0,"@connectmichigan,@USDA",pos
1024430677201248256,07-31-2018,RT @SecretarySonny: We value our longstanding partnership w/@US_FDA to combat the many variables related to anti-microbial resistance and l?,,,12.0,"@SecretarySonny,@US_FDA",pos
1024430526508269569,07-31-2018,"RT @SecretarySonny: Packed house at Hacienda Lealtad in Lares, where we had a lively townhall discussion with local leaders and producers a?",,,33.0,@SecretarySonny,neg
1024430526109822977,07-31-2018,"RT @SecretarySonny: Had a lovely evening last night at La Fortaleza, Governor @RicardoRosello_ ?s home, with Congresswoman from Puerto Rico?",,,39.0,"@SecretarySonny,@RicardoRosello_",pos
1024430402725916672,07-31-2018,"@SecretarySonny @USDA Not good enuf, ,Senator. Go back into the hills and rural areas where sick people are dying and hungry.",,,0.0,"@SecretarySonny,@USDA",neg
1024430338204987392,07-31-2018,@RepJenniffer @USDA @SecretarySonny @PR_Governance @KarimdvG @luisjovalentin @cucusahernandez @Rafael_Bernal_? https://t.co/JyoAm6R2EG,,,0.0,"@RepJenniffer,@USDA,@SecretarySonny,@PR_Governance,@KarimdvG,@luisjovalentin,@cucusahernandez,@Rafael_Bernal_",neg
1024430144956465153,07-31-2018,RT @WhiteCoatWaste: ?BREAKING INVESTIGATION: We just exposed that a @USDA_ARS @USDA lab is using your tax money to kill hundreds of healthy?,,,327.0,"@WhiteCoatWaste,@USDA_ARS,@USDA",neg
1024428170265731073,07-31-2018,"La secretaria de Recursos Naturales, el secretario de @USDA y la comisionada residente @RepJenniffer visitaron hoy? https://t.co/nFeeBpubqY",,,10.0,"@USDA,@RepJenniffer",pos
1024427815716835329,07-31-2018,"RT @FoxBusiness: .@SecretarySonny: ""Certainly, we'd rather have trade rather than aid and restore these markets, but not at unfair practice?",,,16.0,"@FoxBusiness,@SecretarySonny",neg
1024427539123466240,07-31-2018,"RT @DemocracyFwd: As if a trade war wasn?t bad enough, the @realDonaldTrump admin has also illegally rolled back protections for independen?",,,5.0,"@DemocracyFwd,@realDonaldTrump",neg
1024427400078274561,07-31-2018,RT @WHOSTP: Today @WHOSTP convened the #NSTC Committee on STEM to discuss the upcoming Federal 5-Year STEM Education Strategic Plan with co?,#NSTC,,34.0,"@WHOSTP,@WHOSTP",pos
1024426418065825792,07-31-2018,RT @SecretarySonny: We value our longstanding partnership w/@US_FDA to combat the many variables related to anti-microbial resistance and l?,,,12.0,"@SecretarySonny,@US_FDA",pos
1024426403008315392,07-31-2018,"RT @SecretarySonny: Packed house at Hacienda Lealtad in Lares, where we had a lively townhall discussion with local leaders and producers a?",,,33.0,@SecretarySonny,neg
1024425489132347392,07-31-2018,@forestservice @USDA Air drops and tanker runs. More needed then any. For this device.,,,0.0,"@forestservice,@USDA",pos
1024423610981789697,07-31-2018,RT @FishMaki: @SenMikeLee @SenJohnBarrasso @SenatorRisch @SteveDaines @CoryGardner @SenatorStrange @SenJohnHoeven @Unitedminingal @POTUS @S?,,,6.0,"@FishMaki,@SenMikeLee,@SenJohnBarrasso,@SenatorRisch,@SteveDaines,@CoryGardner,@SenatorStrange,@SenJohnHoeven,@Unitedminingal,@POTUS",neg
1024423512197537792,07-31-2018,RT @caseliskar: @SecretarySonny What is taking so long completing the Environmental Assessment for @SuperiorNF ? This should have been done?,,,2.0,"@caseliskar,@SecretarySonny,@SuperiorNF",pos
1024423438834970624,07-31-2018,"RT @DemocracyFwd: As if a trade war wasn?t bad enough, the @realDonaldTrump admin has also illegally rolled back protections for independen?",,,5.0,"@DemocracyFwd,@realDonaldTrump",neg
1024423061918048257,07-31-2018,RT @bigfatsurprise: This op-ed going strong. Latest to publish is @HoustonChron I guess a rigorous trial with 60% reversal of T2 diabetes a?,,,27.0,"@bigfatsurprise,@HoustonChron",neg
1024422999032774657,07-31-2018,"RT @FarmPolicy: 1/ ""Here's How America Uses Its Land,"" https://t.co/uhgpkvD7qn - ""Using surveys, satellite images and categorizations from?",,,36.0,@FarmPolicy,neg
1024422962999508993,07-31-2018,"RT @FarmPolicy: ""Ag Price Index (https://t.co/5asQy0naHO - @usda_nass) Beyond the Main Categories,"" https://t.co/aQ475fcVPM (MP3- 1 minute)?",,,1.0,"@FarmPolicy,@usda_nass",pos
1024422914605703168,07-31-2018,RT @RepJenniffer: .@NRCS_Caribbean worked together with @DRNAGPR in Candelaria ward at Vega Alta to remove debris caught on Road 620?s brid?,,,7.0,"@RepJenniffer,@NRCS_Caribbean,@DRNAGPR",pos
1024421918332669953,07-31-2018,@paulina_lescano @estimacionesbc @SecretarySonny @USAmbassadorARG @USDA @USEmbArgentina Muchas gracias Paulina!!,,,0.0,"@paulina_lescano,@estimacionesbc,@SecretarySonny,@USAmbassadorARG,@USDA,@USEmbArgentina",pos
1024420468856705026,07-31-2018,RT @Unitedminingal: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @KMBenedetto @USRepRickNolan @RepTomEmmer @RepGosar @Rep?,,,9.0,"@Unitedminingal,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@KMBenedetto,@USRepRickNolan,@RepTomEmmer,@RepGosar",neg
1024420437965660160,07-31-2018,RT @Unitedminingal: @SecretarySonny What is taking so long completing the Environmental Assessment for @SuperiorNF ? This should have been?,,,10.0,"@Unitedminingal,@SecretarySonny,@SuperiorNF",neg
1024420421498806272,07-31-2018,@SecretarySonny What is taking so long completing the Environmental Assessment for @SuperiorNF ? This should have b? https://t.co/V3u9CLISPr,,,2.0,"@SecretarySonny,@SuperiorNF",pos
1024420195622969352,07-31-2018,RT @RepJenniffer: Conversando en @fortalezapr con el secretario de @usda @SecretarySonny junto a @ricardorossello @beatrizrossello @secdagr?,,,37.0,"@RepJenniffer,@fortalezapr,@USDA,@SecretarySonny,@ricardorossello,@BeatrizRossello",pos
1024420118070276098,07-31-2018,RT @Unitedminingal: @POTUS @SecretaryZinke @SecretarySonny @SecretaryAcosta @DOIDepSec @DOIPressSec @KMBenedetto @USRepRickNolan @RepTomEmm?,,,9.0,"@Unitedminingal,@POTUS,@SecretaryZinke,@SecretarySonny,@SecretaryAcosta,@DOIDepSec,@DOIPressSec,@KMBenedetto,@USRepRickNolan",neg
1024420018426142720,07-31-2018,RT @Unitedminingal: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @KMBenedetto @EPAAWheeler @RepTomEmmer @RepGosar @RepWes?,,,9.0,"@Unitedminingal,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@KMBenedetto,@EPAAWheeler,@RepTomEmmer,@RepGosar",neg
1024420017906049024,07-31-2018,RT @SecretarySonny: We value our longstanding partnership w/@US_FDA to combat the many variables related to anti-microbial resistance and l?,,,12.0,"@SecretarySonny,@US_FDA",pos
1024419805154238464,07-31-2018,RT @wefishhm70: @SecretaryZinke @DOIDepSec @SecretarySonny @JeffSmalls @RepJasonLewis @collinpeterson @amyklobuchar @SenTinaSmith @KarinHou?,,,9.0,"@wefishhm70,@SecretaryZinke,@DOIDepSec,@SecretarySonny,@JeffSmalls,@RepJasonLewis,@collinpeterson,@amyklobuchar,@SenTinaSmith",neg
1024419798426341376,07-31-2018,RT @SecretarySonny: With @repjenniffer and @SecDAgricultura visiting a family operated dairy that was impacted by Hurricane Maria. This are?,,,27.0,"@SecretarySonny,@RepJenniffer,@SecDAgricultura",pos
1024419722484490241,07-31-2018,RT @wefishhm70: @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAAWheeler @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyklobuchar @reperi?,,,9.0,"@wefishhm70,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAAWheeler,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump,@amyklobuchar",neg
1024419712015446016,07-31-2018,RT @wefishhm70: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAAWheeler @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyk?,,,9.0,"@wefishhm70,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAAWheeler,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump",neg
1024419630155227139,07-31-2018,RT @wefishhm70: @POTUS @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAAWheeler @SecretarySonny @SecretaryAcosta @DonaldJTrum?,,,9.0,"@wefishhm70,@POTUS,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAAWheeler,@SecretarySonny,@SecretaryAcosta",neg
1024419624031531008,07-31-2018,RT @McCaskillOffice: .@ksprnews reports: ?McCaskill?s launched a new online resource to help ranchers and farmers affected by intense droug?,,,50.0,"@McCaskillOffice,@ksprnews",neg
1024419389246984192,07-31-2018,RT @FishMaki: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAAWheeler @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyklo?,,,6.0,"@FishMaki,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAAWheeler,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump",neg
1024419366933356545,07-31-2018,RT @FishMaki: @SecretaryZinke @DOIDepSec @SecretarySonny @JeffSmalls @RepJasonLewis @collinpeterson @RepErikPaulsen @amyklobuchar @SenTinaS?,,,8.0,"@FishMaki,@SecretaryZinke,@DOIDepSec,@SecretarySonny,@JeffSmalls,@RepJasonLewis,@collinpeterson,@RepErikPaulsen,@amyklobuchar",neg
1024419340370800643,07-31-2018,RT @Canderson012: Please resolve the Pecan tariff with China! @SecretarySonny @AustinScottGA08 @SanfordBishop @realDonaldTrump @GovernorDea?,,,1.0,"@Canderson012,@SecretarySonny,@AustinScottGA08,@SanfordBishop,@realDonaldTrump",pos
1024419339607396352,07-31-2018,RT @FishMaki: @POTUS @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAAWheeler @SecretarySonny @SecretaryAcosta @DonaldJTrump?,,,6.0,"@FishMaki,@POTUS,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAAWheeler,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump",neg
